Date,Open,High,Low,Close,Volume,Market Cap,,,
23 July 2017,555.89,578.97,411.78,413.06,"85,013",0,,,
24 July 2017,412.58,578.89,409.21,440.7,"1,90,952",0,,,
25 July 2017,441.35,541.66,338.09,406.9,"5,24,908",0,,,
26 July 2017,407.08,486.16,321.79,365.82,"17,84,640",0,,,
27 July 2017,417.1,460.97,367.78,385.48,"5,33,207",0,,,
28 July 2017,386.65,465.18,217.06,406.05,"12,30,160",0,,,
29 July 2017,410.56,423.73,323.73,384.77,"7,37,815",0,,,
30 July 2017,385.14,385.14,316.25,345.66,"6,06,695",0,,,
31 July 2017,346.36,347.82,266.19,294.46,"10,75,960",0,,,
01 August 2017,294.6,426.11,210.38,380.01,"6,59,88,800",0,,,
02 August 2017,382.38,756.93,309.33,452.66,"41,62,07,000","6,30,23,60,000",,,
03 August 2017,448.49,519.28,364.05,364.05,"16,15,18,000","7,39,20,30,000",,,
04 August 2017,362.18,386.93,233.05,233.05,"18,50,38,000","5,96,97,20,000",,,
05 August 2017,231.11,273.04,200.98,213.15,"14,40,43,000","3,80,93,30,000",,,
06 August 2017,212.18,223.7,203.44,220.66,"10,76,06,000","3,49,72,90,000",,,
07 August 2017,223.76,373.87,223.76,319.69,"34,65,46,000","3,68,83,60,000",,,
08 August 2017,321.35,386.29,309.61,345.49,"27,48,80,000","5,29,73,90,000",,,
09 August 2017,345.28,349.32,298.61,303.89,"16,50,32,000","5,69,19,60,000",,,
10 August 2017,305.21,311.68,274.68,275.95,"13,66,37,000","5,03,17,90,000",,,
11 August 2017,275.88,351.16,275.02,328.24,"23,39,71,000","4,54,86,00,000",,,
12 August 2017,327.82,341.85,313.7,317.09,"12,60,07,000","5,40,52,00,000",,,
13 August 2017,316.29,317.47,298.05,298.05,"12,07,22,000","5,21,53,30,000",,,
14 August 2017,296.1,327.39,293.5,297.68,"17,49,68,000","4,88,27,20,000",,,
15 August 2017,298.19,306.52,292.88,297.86,"13,39,24,000","4,91,74,80,000",,,
16 August 2017,297.97,307.62,290.21,300.21,"10,64,36,000","4,91,43,50,000",,,
17 August 2017,301.02,460.53,293.1,460.53,"74,46,05,000","4,96,49,80,000",,,
18 August 2017,458.67,764.07,458.67,690.24,"3,08,74,90,000","7,56,55,90,000",,,
19 August 2017,697.04,1091.97,625.16,754.56,"3,19,62,30,000","11,49,81,00,000",,,
20 August 2017,772.42,858.96,683.94,712.87,"1,49,40,20,000","12,74,26,00,000",,,
21 August 2017,723.7,756.59,573.47,599.63,"1,12,34,00,000","11,94,31,00,000",,,
22 August 2017,596.19,734.88,570.27,690.88,"1,39,32,60,000","9,84,46,20,000",,,
23 August 2017,690.96,715.67,651.32,669.4,"50,19,83,000","11,41,68,00,000",,,
24 August 2017,670.03,697.32,617.31,628.11,"40,71,77,000","11,07,11,00,000",,,
25 August 2017,627.06,665.41,624.3,641.05,"34,86,32,000","10,36,56,00,000",,,
26 August 2017,641.88,646.93,622.36,625.32,"19,34,14,000","10,61,61,00,000",,,
27 August 2017,625.89,654.87,589.63,620.9,"40,27,18,000","10,35,70,00,000",,,
28 August 2017,619.7,626.88,595.52,596.18,"21,62,73,000","10,25,48,00,000",,,
29 August 2017,596.13,599.3,528.32,552.93,"37,00,17,000","9,86,61,10,000",,,
30 August 2017,549.32,604.69,535.92,575.21,"44,38,56,000","9,09,23,00,000",,,
31 August 2017,576.25,603.69,572.14,588.17,"29,81,44,000","9,53,87,50,000",,,
01 September 2017,588.4,645.52,586.73,622.17,"39,38,39,000","9,74,04,60,000",,,
02 September 2017,621.96,642.05,560.58,575.9,"35,04,78,000","10,29,70,00,000",,,
03 September 2017,578.27,617.41,563.59,607.43,"34,48,62,000","9,57,45,20,000",,,
