Date,Open,High,Low,Close,Volume,Market Cap
28 April 2013,135.3,135.98,132.1,134.21,0,"1,50,05,20,000"
29 April 2013,134.44,147.49,134,144.54,0,"1,49,11,60,000"
30 April 2013,144,146.93,134.05,139,0,"1,59,77,80,000"
01 May 2013,139,139.89,107.72,116.99,0,"1,54,28,20,000"
02 May 2013,116.38,125.6,92.28,105.21,0,"1,29,21,90,000"
03 May 2013,106.25,108.13,79.1,97.75,0,"1,18,00,70,000"
04 May 2013,98.1,115,92.5,112.5,0,"1,08,98,90,000"
05 May 2013,112.9,118.8,107.14,115.91,0,"1,25,47,60,000"
06 May 2013,115.98,124.66,106.64,112.3,0,"1,28,94,70,000"
07 May 2013,112.25,113.44,97.7,111.5,0,"1,24,84,70,000"
08 May 2013,109.6,115.78,109.6,113.57,0,"1,21,94,50,000"
09 May 2013,113.2,113.46,109.26,112.67,0,"1,25,99,80,000"
10 May 2013,112.8,122,111.55,117.2,0,"1,25,59,70,000"
11 May 2013,117.7,118.68,113.01,115.24,0,"1,31,10,50,000"
12 May 2013,115.64,117.45,113.44,115,0,"1,28,86,30,000"
13 May 2013,114.82,118.7,114.5,117.98,0,"1,27,99,80,000"
14 May 2013,117.98,119.8,110.25,111.5,0,"1,31,57,20,000"
15 May 2013,111.4,115.81,103.5,114.22,0,"1,24,27,60,000"
16 May 2013,114.22,118.76,112.2,118.76,0,"1,27,46,20,000"
17 May 2013,118.21,125.3,116.57,123.02,0,"1,31,95,90,000"
18 May 2013,123.5,125.25,122.3,123.5,0,"1,37,91,40,000"
19 May 2013,123.21,124.5,119.57,121.99,0,"1,37,63,70,000"
20 May 2013,122.5,123.62,120.12,122,0,"1,36,89,10,000"
21 May 2013,122.02,123,121.21,122.88,0,"1,36,39,40,000"
22 May 2013,122.89,124,122,123.89,0,"1,37,41,30,000"
23 May 2013,123.8,126.93,123.1,126.7,0,"1,38,47,80,000"
24 May 2013,126.3,133.85,125.72,133.2,0,"1,41,33,00,000"
25 May 2013,133.1,133.22,128.9,131.98,0,"1,48,99,50,000"
26 May 2013,131.99,136,130.62,133.48,0,"1,47,80,30,000"
27 May 2013,133.5,135.47,124.7,129.75,0,"1,49,55,20,000"
28 May 2013,129.77,130.58,125.6,129,0,"1,45,43,10,000"
29 May 2013,129,132.59,127.66,132.3,0,"1,44,61,90,000"
30 May 2013,132.25,132.25,127,128.8,0,"1,48,31,80,000"
31 May 2013,128.8,129.9,126.4,129,0,"1,44,50,50,000"
01 June 2013,128.81,129.78,127.2,129.3,0,"1,44,58,00,000"
02 June 2013,129.3,129.4,115.05,122.29,0,"1,45,19,30,000"
03 June 2013,122.5,122.5,116,122.22,0,"1,37,61,80,000"
04 June 2013,120.74,123.84,119.1,121.42,0,"1,35,70,20,000"
05 June 2013,121.4,123.47,119.9,121.65,0,"1,36,51,10,000"
06 June 2013,121.9,123.1,117.25,118,0,"1,37,13,00,000"
07 June 2013,118.97,119,106.42,111.5,0,"1,33,88,80,000"
08 June 2013,111,111.42,107.3,108.3,0,"1,24,96,30,000"
09 June 2013,107.89,108.99,88.5,100,0,"1,21,51,30,000"
10 June 2013,100.44,110.1,95,106.35,0,"1,13,15,70,000"
11 June 2013,106.35,109.6,104,108.9,0,"1,19,86,40,000"
12 June 2013,109,111.79,106.73,108.15,0,"1,22,90,00,000"
13 June 2013,108.78,110.3,100.53,104,0,"1,22,70,30,000"
14 June 2013,103.95,104.7,98,99.98,0,"1,17,30,60,000"
15 June 2013,100,103.7,98,99.99,0,"1,12,89,50,000"
16 June 2013,99.8,101.6,98.95,99.51,0,"1,12,71,20,000"
17 June 2013,99.9,102.21,99,101.7,0,"1,12,87,20,000"
18 June 2013,101.95,111.11,101.03,107.4,0,"1,15,22,50,000"
19 June 2013,107.05,110.22,105.75,108.25,0,"1,21,02,60,000"
20 June 2013,108.25,114.3,107.5,110.15,0,"1,22,42,10,000"
21 June 2013,111.29,114.99,107.69,109.5,0,"1,25,90,00,000"
22 June 2013,109.5,109.96,107.51,108.3,0,"1,23,92,10,000"
23 June 2013,108.2,108.8,106.23,107.6,0,"1,22,49,80,000"
24 June 2013,107.9,108.33,100.98,102.74,0,"1,22,20,30,000"
25 June 2013,102.09,106.47,101.01,103.95,0,"1,15,66,10,000"
26 June 2013,103.33,105.49,102.79,104,0,"1,17,10,50,000"
27 June 2013,104,104,101.1,101.44,0,"1,17,91,10,000"
28 June 2013,101.74,101.74,92.33,94.65,0,"1,15,38,80,000"
29 June 2013,94.66,99.99,93,94.99,0,"1,07,40,10,000"
30 June 2013,95,98.12,94.22,96.61,0,"1,07,82,60,000"
01 July 2013,97.51,97.66,86.3,88.05,0,"1,10,71,30,000"
02 July 2013,88.05,92.3,87.51,90.13,0,"1,00,00,70,000"
03 July 2013,90.41,90.98,76.98,77.53,0,"1,02,71,60,000"
04 July 2013,78.89,83.11,72,80.53,0,"89,66,93,000"
05 July 2013,79.99,80,65.53,68.43,0,"90,95,26,000"
06 July 2013,68.5,75,66.82,70.28,0,"77,92,55,000"
07 July 2013,68.75,74.56,66.62,74.56,0,"78,23,52,000"
08 July 2013,76.5,80,72.6,76.52,0,"87,09,12,000"
09 July 2013,76,78.3,72.52,76.69,0,"86,55,85,000"
10 July 2013,76.72,87,76.2,86.76,0,"87,41,38,000"
11 July 2013,88,90.28,85.08,88.98,0,"1,00,30,90,000"
12 July 2013,88.98,104,88.17,93.59,0,"1,01,46,40,000"
13 July 2013,93.99,98.25,88.06,98.13,0,"1,07,21,40,000"
14 July 2013,98.7,98.7,92.86,94.69,0,"1,12,62,60,000"
15 July 2013,93.61,101.9,93.11,98.4,0,"1,06,85,20,000"
16 July 2013,98.89,99.86,96.14,97.45,0,"1,12,92,60,000"
17 July 2013,96.71,99.97,96.18,98.5,0,"1,10,47,60,000"
18 July 2013,98.5,98.8,86.2,90.58,0,"1,12,56,60,000"
19 July 2013,90.07,95.2,87.8,92.17,0,"1,02,96,70,000"
20 July 2013,92,93.1,89.27,89.39,0,"1,05,21,40,000"
21 July 2013,89.82,91.95,88,90.76,0,"1,02,76,40,000"
22 July 2013,92,92,90.08,91.61,0,"1,05,30,00,000"
23 July 2013,91.6,96.82,91.6,95.56,0,"1,04,88,20,000"
24 July 2013,95.56,95.99,93,94.51,0,"1,09,44,90,000"
25 July 2013,94.5,97.33,93.87,96.9,0,"1,08,28,00,000"
26 July 2013,96.95,97.47,96,96.02,0,"1,11,11,60,000"
27 July 2013,96.02,97,93,94.12,0,"1,10,09,00,000"
28 July 2013,94.4,100.58,94,99.76,0,"1,08,27,50,000"
29 July 2013,98.6,102.5,98.45,101.2,0,"1,13,13,40,000"
30 July 2013,101.49,107.99,100.47,107.99,0,"1,16,49,40,000"
31 July 2013,107.95,111.34,103.88,106.09,0,"1,23,96,30,000"
01 August 2013,106.21,108,103.01,104,0,"1,22,01,90,000"
02 August 2013,104.86,108,101.21,104.5,0,"1,20,50,70,000"
03 August 2013,104.5,105.78,102,104,0,"1,20,14,90,000"
04 August 2013,104.95,105.95,103.52,105.14,0,"1,20,71,00,000"
05 August 2013,105.12,107.77,105,106.22,0,"1,20,95,20,000"
06 August 2013,106.72,107.38,105.56,106.75,0,"1,22,84,40,000"
07 August 2013,106.75,106.75,106.75,106.75,0,"1,22,91,00,000"
08 August 2013,106.75,106.75,101.26,103,0,"1,22,91,00,000"
09 August 2013,103.07,105.75,101.94,102.8,0,"1,18,79,20,000"
