Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",3.97,4.16,3.44,3.52,"1,57,912","3,66,80,600"
"Feb 19, 2018",3.69,4.15,3.62,3.95,"1,08,297","3,40,58,900"
"Feb 18, 2018",4.34,4.34,3.66,3.7,"1,50,823","4,00,37,400"
"Feb 17, 2018",4.08,4.38,4.01,4.31,"1,85,105","3,77,08,600"
"Feb 16, 2018",4.06,4.19,3.87,4.13,"1,49,639","3,74,59,600"
"Feb 15, 2018",3.86,4.3,3.7,4.04,"1,57,578","3,56,18,900"
"Feb 14, 2018",3.05,5.52,3.05,3.73,"3,85,193","2,81,62,900"
"Feb 13, 2018",3,3.19,2.83,3.03,"1,11,873","2,76,95,200"
"Feb 12, 2018",2.24,3.12,2.23,3.01,"1,98,019","2,06,73,000"
"Feb 11, 2018",2.35,2.39,2.12,2.25,"76,175","2,16,65,700"
"Feb 10, 2018",2.19,2.64,2.19,2.39,"1,52,689","2,02,26,800"
"Feb 09, 2018",2.34,2.35,2.09,2.19,"1,68,616","2,15,67,800"
"Feb 08, 2018",2.42,2.81,2.26,2.34,"2,11,125","2,22,72,200"
"Feb 07, 2018",5.54,5.54,2.14,2.46,"7,92,071","5,10,17,500"
"Feb 06, 2018",4.31,5.59,3.72,5.58,"3,02,712","3,96,55,600"
"Feb 05, 2018",5.49,5.64,4.18,4.29,"1,94,631","5,05,18,800"
"Feb 04, 2018",6.55,6.63,5.26,5.54,"3,09,371","6,02,72,400"
"Feb 03, 2018",6.7,6.91,6,6.51,"3,17,398","6,16,16,000"
"Feb 02, 2018",8.91,8.93,5.55,6.69,"6,92,302","8,19,47,000"
"Feb 01, 2018",8.59,13.14,8.51,8.89,"56,72,460","7,90,51,200"
"Jan 31, 2018",5.97,10.11,5.55,8.73,"36,57,210","5,49,33,300"
"Jan 30, 2018",7,7.05,5.75,6.01,"8,83,703","6,43,58,900"
"Jan 29, 2018",8.27,8.35,7.01,7.01,"11,71,150","7,60,09,800"
"Jan 28, 2018",10.64,11.24,8.21,8.32,"19,50,330","9,78,14,400"
"Jan 27, 2018",11.17,11.29,10.48,10.53,"9,94,843","10,26,54,000"
"Jan 26, 2018",12.57,12.92,10.59,11.18,"16,00,520","11,54,88,000"
"Jan 25, 2018",12.8,15.97,9.46,12.59,"53,76,800","11,75,79,000"
"Jan 24, 2018",15.94,15.94,12.5,13.26,"24,06,960","14,63,93,000"
"Jan 23, 2018",16.69,17.08,15.08,16.05,"17,71,300","15,32,13,000"
"Jan 22, 2018",18.08,19.2,15.64,16.76,"27,58,110","16,58,72,000"
"Jan 21, 2018",21.72,21.97,16.05,17.86,"58,65,730","19,92,00,000"
"Jan 20, 2018",29.33,30.98,21.76,21.81,"70,54,180","26,89,47,000"
"Jan 19, 2018",35.68,41.94,24.56,29.11,"1,86,58,000","32,70,92,000"
"Jan 18, 2018",23.84,82.43,22.79,37.68,"5,74,34,000","18,79,04,000"
"Jan 17, 2018",21.7,44.59,5.69,22.48,"2,47,96,900","13,66,94,000"
"Jan 16, 2018",255.91,331.06,19.28,19.28,"59,20,560","1,60,11,40,000"
"Jan 15, 2018",290.84,304.5,240.19,256.07,"22,61,840","1,81,86,70,000"
"Jan 14, 2018",318.31,321.25,281.03,293.36,"43,51,920","1,97,69,60,000"
"Jan 13, 2018",322.83,328.83,313.9,318.02,"1,42,32,700","2,00,39,60,000"
"Jan 12, 2018",300.1,328.78,289.78,322.98,"2,31,19,700","1,86,20,40,000"
"Jan 11, 2018",324.83,328.61,281.29,302.19,"2,73,49,500","2,00,87,50,000"
"Jan 10, 2018",353.65,353.65,311.02,327.27,"2,59,60,000","2,18,58,70,000"
"Jan 09, 2018",360.25,371.85,343.2,353.23,"2,22,27,900","2,22,55,80,000"
"Jan 08, 2018",375.03,382.83,335.59,361.85,"1,92,04,000","2,31,58,60,000"
"Jan 07, 2018",449.02,449.02,372.9,376.96,"2,18,04,900","2,77,05,50,000"
"Jan 06, 2018",402.66,451.29,394,449.47,"2,47,76,400","2,48,25,10,000"
"Jan 05, 2018",428.6,429.67,397.46,402.82,"3,63,59,800","2,64,14,70,000"
"Jan 04, 2018",450.46,451.06,409.01,428.53,"2,42,51,600","2,77,47,50,000"
"Jan 03, 2018",428.23,447.77,419.69,447.53,"2,70,60,700","2,63,61,80,000"
"Jan 02, 2018",385.47,429.82,366.95,428.6,"2,54,22,700","2,38,72,10,000"
"Jan 01, 2018",420.98,445.46,376.74,385.5,"2,73,66,000","2,60,57,40,000"
"Dec 31, 2017",380.71,431.38,377.46,418.96,"2,12,78,700","2,35,56,60,000"
"Dec 30, 2017",461.94,462.06,369.14,384.56,"2,66,18,900","2,85,70,50,000"
"Dec 29, 2017",413.53,470.86,407.81,463.31,"4,13,66,100","2,55,65,20,000"
"Dec 28, 2017",420.53,479.3,372.94,409.57,"6,02,71,900","2,53,37,80,000"
"Dec 27, 2017",397.43,476.4,342.22,421.6,"6,57,98,100","2,39,34,30,000"
"Dec 26, 2017",219.87,427.11,216.66,397.87,"8,96,49,200","1,32,35,00,000"
"Dec 25, 2017",244.16,244.16,216.11,220.01,"1,89,20,000","1,46,89,10,000"
"Dec 24, 2017",291.72,291.72,224.09,241.63,"1,45,77,700","1,70,82,50,000"
"Dec 23, 2017",292.51,314.15,286.95,288.51,"1,57,72,600","1,71,24,00,000"
"Dec 22, 2017",341.75,344.77,244.23,289.79,"2,27,88,300","1,99,99,10,000"
"Dec 21, 2017",363.26,381.93,330.41,340.55,"1,97,32,800","1,74,52,20,000"
"Dec 20, 2017",387.11,393.7,348.98,362.78,"1,88,26,800","1,85,93,70,000"
"Dec 19, 2017",430.55,456.14,374.84,387.42,"2,35,25,300","2,06,68,00,000"
"Dec 18, 2017",428.94,476.62,409.93,430.04,"2,67,53,200","2,05,60,20,000"
"Dec 17, 2017",457.7,509.99,425.81,427.71,"2,15,32,200","2,19,26,30,000"
"Dec 16, 2017",400.71,461.08,395.56,457.47,"2,64,12,700","1,91,82,70,000"
"Dec 15, 2017",373.81,403.65,373.79,396.08,"3,25,79,600","1,78,81,60,000"
"Dec 14, 2017",365.37,383.02,360.52,373.44,"1,37,32,500","1,74,72,80,000"
"Dec 13, 2017",388.2,394.73,355.94,366.3,"2,88,52,100","1,85,58,20,000"
"Dec 12, 2017",380.64,399.23,371.32,387.75,"2,72,29,000","1,81,90,50,000"
"Dec 11, 2017",371.31,396.37,369.68,379.63,"3,92,37,900","1,77,37,00,000"
"Dec 10, 2017",374.78,384.96,328.65,374.21,"2,60,08,800","1,19,39,20,000"
"Dec 09, 2017",409.58,415.65,338.1,373.26,"2,48,20,000","1,30,47,80,000"
"Dec 08, 2017",447.95,453.42,356.84,409.73,"2,48,72,700","1,42,70,30,000"
"Dec 07, 2017",368.22,447.18,361.2,447.18,"3,73,67,700","1,17,30,20,000"
"Dec 06, 2017",331.14,371.27,331.14,369.24,"3,11,03,500","1,05,49,20,000"
"Dec 05, 2017",331.34,338.96,324.2,331.74,"2,11,90,000","1,05,55,60,000"
"Dec 04, 2017",292.85,332.09,292.85,330.67,"1,90,53,100","93,29,38,000"
"Dec 03, 2017",318.83,342.51,296.17,311.99,"1,65,00,300","1,01,57,00,000"
"Dec 02, 2017",322.45,327.56,310.75,319.24,"1,60,65,500","1,02,72,20,000"
"Dec 01, 2017",283.65,322.74,272.85,322.74,"2,36,16,200","90,36,30,000"
"Nov 30, 2017",273.51,297.65,255.41,285.46,"1,96,84,400","58,48,00,000"
"Nov 29, 2017",285.09,325.31,253.61,269.33,"3,12,34,400","60,95,56,000"
"Nov 28, 2017",301.27,301.27,284.99,286.04,"2,53,68,700","64,41,46,000"
"Nov 27, 2017",299.69,307.44,273.6,300.48,"2,85,51,400","64,07,64,000"
"Nov 26, 2017",304.6,310,273.25,299.79,"2,05,82,600","65,12,55,000"
"Nov 25, 2017",296.49,307.98,277.08,304.7,"1,90,70,800","63,39,16,000"
"Nov 24, 2017",289.12,300.32,283.56,297.26,"1,73,07,700","61,81,55,000"
"Nov 23, 2017",299.29,301,289.76,289.76,"1,75,50,800","63,99,13,000"
"Nov 22, 2017",294.75,301.19,291.73,299.33,"1,96,32,100","63,02,10,000"
"Nov 21, 2017",296.57,301.53,274.78,294.1,"2,39,52,700","63,40,92,000"
"Nov 20, 2017",292.5,302.04,256.51,296.51,"2,82,03,100","62,54,03,000"
"Nov 19, 2017",294.46,295.88,281.27,292.65,"1,67,63,600","62,95,82,000"
"Nov 18, 2017",295.91,299.17,284.36,294.92,"1,77,83,600","63,26,92,000"
"Nov 17, 2017",302.48,308.66,291,297.02,"2,35,69,000","64,67,36,000"
"Nov 16, 2017",274.63,308.34,261.24,303.01,"3,10,28,800","58,71,85,000"
"Nov 15, 2017",255.66,280.37,255.66,273.13,"2,69,40,000","54,66,34,000"
"Nov 14, 2017",252.45,259.37,248.25,255.38,"2,27,64,400","53,97,65,000"
"Nov 13, 2017",218.02,259.44,216.57,251.9,"1,99,08,200","46,61,38,000"
"Nov 12, 2017",241.44,241.44,201.66,218,"1,32,18,700","51,62,26,000"
"Nov 11, 2017",252.63,262.24,237.99,241.58,"1,59,69,100","54,01,48,000"
"Nov 10, 2017",274.44,286.7,248.33,253.59,"2,08,60,300","58,67,77,000"
"Nov 09, 2017",285.18,285.42,270.68,273.57,"2,26,90,900","60,97,33,000"
"Nov 08, 2017",270.43,298.81,268.81,285.47,"2,26,43,000","57,81,93,000"
"Nov 07, 2017",260.04,273.18,260.04,271.27,"2,27,12,300","55,59,97,000"
"Nov 06, 2017",276.58,279.72,259.64,259.85,"1,94,32,300","59,13,55,000"
"Nov 05, 2017",278.1,285.64,273.37,276.28,"1,45,91,800","59,46,08,000"
"Nov 04, 2017",270.45,284.62,259.07,278.66,"6,68,91,000","57,82,48,000"
"Nov 03, 2017",262.93,284.64,260.1,271.12,"2,57,55,600","1,93,45,70,000"
"Nov 02, 2017",251.29,273.73,251.29,263.27,"2,39,00,000","1,84,63,40,000"
"Nov 01, 2017",239.45,251.29,234.88,250.93,"2,40,30,900","1,75,77,60,000"
"Oct 31, 2017",227.38,239.52,226.79,239.52,"1,83,64,400","1,66,74,60,000"
"Oct 30, 2017",225.77,230.18,223.09,228.12,"2,25,68,300","1,65,39,70,000"
"Oct 29, 2017",211.72,233.22,211.18,227.1,"1,11,38,200","1,54,97,20,000"
"Oct 28, 2017",213.13,217.36,209.66,211.84,"1,05,50,800","1,55,85,80,000"
"Oct 27, 2017",216.65,220.7,210.38,212.55,"1,40,48,500","1,58,29,30,000"
"Oct 26, 2017",206.38,220.18,205.15,216.59,"1,58,82,500","1,50,65,80,000"
"Oct 25, 2017",193.74,206.68,188.8,206.32,"1,70,13,600","1,40,50,90,000"
"Oct 24, 2017",196.65,201.47,186.31,193.7,"1,22,98,000","1,42,47,70,000"
"Oct 23, 2017",204.72,208.28,193.84,198.57,"1,37,30,900","1,48,17,70,000"
"Oct 22, 2017",208.5,210.75,198.85,205.04,"99,44,220","1,50,77,80,000"
"Oct 21, 2017",213.01,218.42,204.56,210.4,"1,02,11,700","1,53,87,50,000"
"Oct 20, 2017",199.81,216.68,198.23,213.46,"1,56,62,400","1,44,20,10,000"
"Oct 19, 2017",195.58,202.03,194.07,199.79,"1,40,86,400","1,41,01,90,000"
"Oct 18, 2017",193.93,196.44,178.7,195.38,"1,32,34,800","1,39,53,80,000"
"Oct 17, 2017",199.63,200.25,191.38,193.95,"1,41,42,600","1,43,49,90,000"
"Oct 16, 2017",193.05,200.68,190.66,199.63,"1,40,92,700","1,38,58,80,000"
"Oct 15, 2017",200.83,201.44,186.43,193.03,"91,90,960","1,44,03,70,000"
"Oct 14, 2017",196.68,201.51,193.34,199.74,"1,23,75,600","1,40,93,00,000"
"Oct 13, 2017",188.67,204.19,187.51,196.72,"1,81,81,900","1,35,03,90,000"
"Oct 12, 2017",166.71,188.09,166.23,188.09,"1,56,16,200","1,18,27,50,000"
"Oct 11, 2017",161.34,168.28,158.95,166.59,"1,30,11,800","1,14,36,40,000"
"Oct 10, 2017",158.71,166.74,158.71,161.25,"1,30,35,600","1,11,64,40,000"
"Oct 09, 2017",148.29,161.37,146.63,158.66,"1,26,46,700","1,03,49,40,000"
"Oct 08, 2017",142.71,148.93,142.33,148.31,"69,56,630","99,50,90,000"
"Oct 07, 2017",141.85,144.33,139.16,144.15,"63,42,670","98,42,96,000"
"Oct 06, 2017",138.96,143.83,138.68,141.86,"1,07,87,200","95,82,72,000"
"Oct 05, 2017",135.21,140.32,132.93,138.96,"82,45,120","93,15,54,000"
"Oct 04, 2017",136.92,138.58,134.12,135.09,"74,68,280","94,19,32,000"
"Oct 03, 2017",139.07,139.75,134.2,136.58,"82,98,420","95,57,66,000"
"Oct 02, 2017",139.19,140.6,134.72,139.08,"1,11,13,800","95,35,52,000"
"Oct 01, 2017",136.23,139.33,134.03,139.33,"58,08,050","93,21,78,000"
"Sep 30, 2017",130.13,136.54,128.68,136.16,"78,30,160","88,95,67,000"
"Sep 29, 2017",131.15,132.31,123.58,130.11,"1,08,71,800","89,56,47,000"
"Sep 28, 2017",126.3,131.58,125.18,131.26,"1,28,07,500","86,15,93,000"
"Sep 27, 2017",117.41,127.13,117.36,126.31,"1,05,26,200","80,00,32,000"
"Sep 26, 2017",117.5,120.41,116.41,117.76,"1,06,29,600","79,67,41,000"
"Sep 25, 2017",109.68,119.57,109.51,117.5,"1,04,14,100","74,29,49,000"
"Sep 24, 2017",113.12,113.27,108.57,110.11,"49,50,760","76,55,08,000"
"Sep 23, 2017",109.38,113.91,108.24,113.17,"56,40,310","73,94,13,000"
"Sep 22, 2017",108.61,113.21,107.07,109.69,"69,33,750","73,33,72,000"
"Sep 21, 2017",116.67,117.45,107.42,108.73,"64,27,510","78,70,24,000"
"Sep 20, 2017",117.55,121.48,114.45,117.25,"84,98,270","79,21,75,000"
"Sep 19, 2017",122.2,123.11,114.6,117.67,"92,24,430","82,27,11,000"
"Sep 18, 2017",106.62,122.23,106.49,122,"81,92,160","71,69,16,000"
"Sep 17, 2017",109.75,110.94,102.81,106.84,"53,50,380","73,72,26,000"
"Sep 16, 2017",111.11,116.01,105.02,109.85,"56,83,580","74,46,52,000"
"Sep 15, 2017",97.42,113.75,89.36,111.22,"85,39,660","65,21,07,000"
"Sep 14, 2017",115.97,117.38,96.71,96.71,"63,67,800","77,55,43,000"
"Sep 13, 2017",123.14,123.7,112.6,115.97,"63,15,510","82,22,82,000"
"Sep 12, 2017",125.29,130.91,122.22,123.5,"68,61,080","83,59,11,000"
"Sep 11, 2017",121.88,128.2,120.76,125.7,"70,83,720","81,22,92,000"
"Sep 10, 2017",129.7,129.7,118.94,122.92,"46,44,030","86,35,79,000"
"Sep 09, 2017",128.51,131.51,125.21,130.05,"62,25,680","85,45,20,000"
"Sep 08, 2017",137.68,139.78,123.23,128.29,"70,51,050","91,45,56,000"
"Sep 07, 2017",135.88,138.67,132.52,137.61,"75,64,730","90,17,78,000"
"Sep 06, 2017",130.25,142.16,128.84,136.18,"80,49,390","86,35,37,000"
"Sep 05, 2017",114.74,131.57,108.93,129.42,"85,37,600","75,67,93,000"
"Sep 04, 2017",128.26,129.55,110.68,114.13,"3,03,95,600","84,50,31,000"
"Sep 03, 2017",131.71,135.06,125.87,130.99,"52,44,490","86,68,69,000"
"Sep 02, 2017",141.11,142.8,128,131.33,"50,56,030","92,69,18,000"
"Sep 01, 2017",135.66,140.97,133.47,140.97,"78,54,700","89,02,29,000"
"Aug 31, 2017",135.6,136.88,132.24,135.63,"66,33,480","88,89,20,000"
