Date,Open,High,Low,Close,Volume,Market Cap
14-02-2014,0.213899,0.378883,0.213899,0.374024,"15,422","7,02,537"
15-02-2014,0.331111,0.354461,0.219434,0.314865,"21,119","10,92,120"
16-02-2014,0.32584,0.459833,0.310345,0.406976,"28,017","10,85,280"
17-02-2014,0.406039,1.5,0.402588,1.45,"1,78,618","13,60,260"
18-02-2014,1.18,1.5,0.841751,1.04,"1,60,779","39,60,320"
19-02-2014,1.04,1.21,0.851995,0.941647,"60,551","34,97,850"
20-02-2014,0.941944,1.23,0.894865,1.06,"93,281","31,96,180"
21-02-2014,1.05,1.33,1.02,1.13,"83,008","35,90,320"
22-02-2014,1.12,1.26,0.696502,1.24,"1,01,024","38,33,460"
23-02-2014,1.15,3.36,0.623443,1.15,"1,15,234","39,45,250"
24-02-2014,1.18,1.19,0.418532,0.841903,"1,09,256","40,82,000"
25-02-2014,0.839383,0.839383,0.527474,0.527474,"69,493","29,02,860"
26-02-2014,0.620399,0.739818,0.494515,0.619451,"49,321","21,53,440"
27-02-2014,0.616643,0.742251,0.549852,0.61939,"15,148","21,48,350"
28-02-2014,0.618662,0.625539,0.458697,0.550661,"60,517","21,63,860"
01-03-2014,0.549616,1.07,0.528973,0.937342,"2,52,311","19,29,800"
02-03-2014,0.936036,1.08,0.815903,1.03,"1,48,259","32,98,980"
03-03-2014,1.03,4.4,0.935749,1.21,"2,71,197","36,51,050"
04-03-2014,1.21,1.21,0.970883,0.987557,"90,550","42,83,970"
05-03-2014,0.987192,1.07,0.941151,1.03,"93,138","35,15,760"
06-03-2014,1.03,1.05,0.952003,1.05,"68,896","36,92,890"
07-03-2014,1.06,1.1,0.877912,0.877912,"1,12,877","37,87,000"
08-03-2014,0.911867,0.953494,0.85686,0.914905,"70,281","32,85,680"
09-03-2014,0.913189,0.958778,0.806353,0.872964,"48,781","32,96,790"
10-03-2014,0.872114,0.91216,0.745242,0.810256,"45,946","31,59,030"
11-03-2014,0.807598,0.922435,0.764712,0.8913,"42,234","29,34,810"
12-03-2014,0.888208,0.953882,0.858214,0.865936,"39,530","32,38,290"
13-03-2014,0.865569,0.895094,0.810772,0.833336,"31,123","31,66,030"
14-03-2014,0.83338,0.84608,0.78516,0.811341,"26,274","30,57,150"
15-03-2014,0.812077,0.816057,0.739031,0.7912,"30,817","29,79,000"
16-03-2014,0.791673,0.800764,0.755205,0.775647,"39,429","29,24,440"
17-03-2014,0.772496,0.821393,0.749368,0.781925,"34,416","28,63,030"
18-03-2014,0.77927,0.780172,0.730293,0.75221,"39,252","28,97,450"
19-03-2014,0.750897,0.768236,0.728004,0.743559,"35,742","28,00,990"
20-03-2014,0.743256,0.755714,0.701852,0.725089,"42,290","27,81,320"
21-03-2014,0.724498,0.751899,0.679063,0.704648,"28,087","27,19,600"
22-03-2014,0.704266,0.718955,0.681694,0.71468,"24,618","26,52,100"
23-03-2014,0.715596,0.728952,0.693478,0.718257,"34,977","27,03,390"
24-03-2014,0.719851,0.892484,0.700397,0.866518,"1,36,677","27,27,950"
25-03-2014,0.868912,0.900979,0.795766,0.8201,"78,095","33,02,840"
26-03-2014,0.819494,0.870226,0.79043,0.858815,"39,790","31,24,140"
27-03-2014,0.864728,0.865513,0.6835,0.6835,"32,991","33,05,920"
28-03-2014,0.692062,0.774768,0.683257,0.697426,"27,851","26,53,470"
29-03-2014,0.709294,0.728762,0.702573,0.703475,"23,667","27,27,370"
30-03-2014,0.708306,0.710038,0.612809,0.662486,"30,985","27,31,140"
31-03-2014,0.665123,0.68689,0.624873,0.641774,"15,608","25,71,600"
01-04-2014,0.641783,0.747204,0.638385,0.724105,"36,211","24,88,370"
02-04-2014,0.725259,0.740497,0.589991,0.615044,"21,722","28,19,600"
03-04-2014,0.614065,0.666765,0.573639,0.638183,"18,610","23,93,680"
04-04-2014,0.640371,0.662537,0.62528,0.648937,"11,863","25,02,840"
05-04-2014,0.640305,0.703904,0.620445,0.700444,"28,674","25,09,580"
06-04-2014,0.700828,0.723713,0.630182,0.641513,"13,167","27,54,220"
