Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",39.41,43.96,38.23,38.47,"1,17,58,90,000","3,94,00,10,000"
"Feb 19, 2018",34.69,40.26,33.93,39.29,"99,22,56,000","3,46,78,60,000"
"Feb 18, 2018",35.01,35.08,31.52,34.88,"45,68,29,000","3,49,83,90,000"
"Feb 17, 2018",34.97,35.4,34.38,34.99,"41,85,34,000","3,49,36,50,000"
"Feb 16, 2018",34.43,35.34,32.9,35.03,"45,67,54,000","3,43,91,80,000"
"Feb 15, 2018",34.83,35.65,32.83,34.53,"63,52,28,000","3,47,79,70,000"
"Feb 14, 2018",34.32,36.44,33.4,35.04,"1,05,53,40,000","3,42,68,60,000"
"Feb 13, 2018",29.88,34.73,28.32,33.96,"1,13,59,50,000","2,98,27,30,000"
"Feb 12, 2018",24.31,30.33,24.31,29.88,"54,17,66,000","2,42,58,00,000"
"Feb 11, 2018",24.53,26,21.42,24.13,"37,81,89,000","2,44,74,00,000"
"Feb 10, 2018",25.95,26.65,23.08,24.52,"25,61,81,000","2,58,86,40,000"
"Feb 09, 2018",21.89,26.21,21,26,"39,30,49,000","2,18,25,30,000"
"Feb 08, 2018",18.15,21.96,18.15,21.79,"26,51,55,000","1,80,93,00,000"
"Feb 07, 2018",19.18,20.45,17.45,18.16,"21,29,87,000","1,91,20,10,000"
"Feb 06, 2018",16.75,19.42,14.06,19.39,"31,82,12,000","1,66,95,30,000"
"Feb 05, 2018",20.76,21.19,15.89,16.53,"17,15,00,000","2,06,83,30,000"
"Feb 04, 2018",24.19,24.73,19.91,21.04,"21,83,48,000","2,40,92,10,000"
"Feb 03, 2018",23.15,24.74,20.76,24.2,"17,90,81,000","2,30,54,70,000"
"Feb 02, 2018",24.95,24.95,18.37,23.07,"34,00,95,000","2,48,41,90,000"
"Feb 01, 2018",28.77,28.88,23.74,24.97,"25,12,54,000","2,86,37,80,000"
"Jan 31, 2018",27.21,28.76,25.96,28.76,"27,18,52,000","2,70,74,40,000"
"Jan 30, 2018",31.77,31.77,26.98,27.13,"23,51,60,000","3,16,04,90,000"
"Jan 29, 2018",33.21,33.66,30.97,31.71,"19,70,76,000","3,30,32,40,000"
"Jan 28, 2018",29.62,34.4,29.62,32.9,"35,07,99,000","2,94,52,80,000"
"Jan 27, 2018",28.76,30.13,28.15,29.49,"12,78,39,000","2,85,86,10,000"
"Jan 26, 2018",29.1,29.69,26.82,28.8,"19,80,45,000","2,89,23,80,000"
"Jan 25, 2018",29.89,30.39,28.79,29.19,"16,27,49,000","2,96,97,90,000"
"Jan 24, 2018",28.47,30.54,28.08,29.6,"18,77,89,000","2,82,83,50,000"
"Jan 23, 2018",29.28,30.17,26.55,28.37,"23,00,31,000","2,90,74,90,000"
"Jan 22, 2018",30.59,32.84,26.92,29.26,"32,12,30,000","3,03,74,00,000"
"Jan 21, 2018",35.49,36.21,29.28,30.32,"38,15,07,000","3,52,33,10,000"
"Jan 20, 2018",32.09,35.56,32.09,35.01,"41,82,91,000","3,18,47,70,000"
"Jan 19, 2018",30.03,34.34,29.07,31.7,"39,40,37,000","2,97,92,60,000"
"Jan 18, 2018",29.24,32.89,28.02,30.19,"45,50,46,000","2,90,08,30,000"
"Jan 17, 2018",28.38,30.36,22.49,29.12,"59,87,07,000","2,81,48,80,000"
