Date,Open,High,Low,Close,Volume,Market Cap
07-08-2015,2.83,3.54,2.52,2.77,"1,64,329",0
08-08-2015,2.79,2.8,0.714725,0.753325,"6,74,188","16,79,11,000"
09-08-2015,0.706136,0.87981,0.629191,0.701897,"5,32,170","4,26,37,600"
10-08-2015,0.713989,0.729854,0.636546,0.708448,"4,05,283","4,31,30,000"
11-08-2015,0.708087,1.13,0.663235,1.07,"14,63,100","4,27,96,500"
12-08-2015,1.06,1.29,0.883608,1.22,"21,50,620","6,40,18,400"
13-08-2015,1.22,1.97,1.17,1.83,"40,68,680","7,39,35,400"
14-08-2015,1.81,2.26,1.75,1.83,"46,37,030","10,95,94,000"
15-08-2015,1.8,1.88,1.57,1.69,"25,54,360","10,91,60,000"
16-08-2015,1.68,1.7,1.09,1.57,"35,50,790","10,20,28,000"
17-08-2015,1.58,1.58,1.19,1.2,"19,42,830","9,58,19,700"
18-08-2015,1.22,1.33,1.09,1.09,"14,85,680","8,81,43,200"
19-08-2015,1.17,1.32,1.17,1.26,"14,86,240","8,46,63,900"
20-08-2015,1.25,1.53,1.25,1.46,"28,43,760","9,08,09,000"
21-08-2015,1.48,1.56,1.35,1.4,"20,20,970","10,72,66,000"
22-08-2015,1.4,1.48,1.35,1.38,"9,48,310","10,14,04,000"
23-08-2015,1.38,1.41,1.3,1.35,"15,89,300","9,98,94,500"
24-08-2015,1.35,1.36,1.23,1.23,"9,24,920","9,77,91,600"
25-08-2015,1.23,1.24,1.13,1.14,"13,07,180","8,93,21,900"
26-08-2015,1.13,1.2,1.06,1.16,"10,56,750","8,23,84,400"
27-08-2015,1.17,1.19,1.14,1.15,"6,86,662","8,51,06,100"
28-08-2015,1.15,1.21,1.12,1.19,"7,21,872","8,35,21,700"
29-08-2015,1.19,1.21,1.15,1.18,"3,75,377","8,68,87,600"
30-08-2015,1.18,1.37,1.17,1.32,"13,37,650","8,61,45,900"
31-08-2015,1.32,1.4,1.2,1.36,"14,47,180","9,62,51,000"
01-09-2015,1.35,1.39,1.34,1.35,"7,78,862","9,86,17,200"
02-09-2015,1.35,1.35,1.26,1.29,"8,83,769","9,85,04,600"
03-09-2015,1.3,1.31,1.21,1.26,"7,02,991","9,44,18,700"
04-09-2015,1.26,1.3,1.24,1.27,"4,74,391","9,22,34,100"
05-09-2015,1.28,1.34,1.27,1.34,"4,48,453","9,34,02,300"
06-09-2015,1.34,1.37,1.29,1.3,"4,91,968","9,76,25,500"
07-09-2015,1.3,1.31,1.24,1.25,"4,89,014","9,45,85,300"
08-09-2015,1.25,1.28,1.23,1.24,"4,27,892","9,10,20,700"
09-09-2015,1.24,1.26,1.2,1.21,"3,66,748","9,05,18,300"
10-09-2015,1.21,1.22,1.14,1.17,"6,62,782","8,82,30,500"
11-09-2015,1.16,1.17,0.940675,0.982978,"19,42,600","8,51,44,300"
12-09-2015,0.987228,1.11,0.96978,1.04,"7,72,430","7,21,79,000"
13-09-2015,1.04,1.04,0.902832,0.936003,"6,44,138","7,61,93,600"
14-09-2015,0.940566,0.949387,0.87176,0.875622,"7,41,085","6,88,14,400"
15-09-2015,0.875189,1.05,0.875189,0.94441,"7,03,390","6,40,52,400"
16-09-2015,0.941977,0.952698,0.901639,0.907175,"6,15,593","6,89,63,300"
17-09-2015,0.906865,0.909204,0.831132,0.874231,"8,97,940","6,64,15,200"
18-09-2015,0.874574,0.888102,0.833908,0.853685,"4,84,622","6,40,71,300"
19-09-2015,0.849603,0.911883,0.833784,0.882391,"3,86,988","6,22,62,700"
20-09-2015,0.881191,0.947741,0.873205,0.938445,"5,08,314","6,46,00,000"
21-09-2015,0.941496,0.957326,0.878301,0.919047,"4,24,039","6,90,45,900"
22-09-2015,0.919337,0.919337,0.865225,0.901796,"4,87,914","6,74,44,200"
23-09-2015,0.90356,0.90891,0.885136,0.893406,"2,00,541","6,63,09,600"
24-09-2015,0.896796,0.908571,0.79346,0.81361,"8,42,505","6,58,36,400"
25-09-2015,0.820031,0.825665,0.712745,0.736223,"9,03,457","6,02,21,400"
26-09-2015,0.73763,0.787544,0.709328,0.785964,"3,69,620","5,41,88,900"
27-09-2015,0.791277,0.791277,0.719169,0.720839,"4,13,801","5,81,49,600"
28-09-2015,0.723715,0.725677,0.557062,0.582886,"13,20,890","5,32,01,800"
29-09-2015,0.579414,0.67583,0.558346,0.661146,"9,13,992","4,26,07,700"
30-09-2015,0.661192,0.746722,0.635861,0.738644,"6,19,926","4,86,36,600"
01-10-2015,0.734307,0.734307,0.655906,0.690215,"5,96,084","5,40,32,300"
02-10-2015,0.683732,0.69112,0.654605,0.678574,"2,19,318","5,03,28,700"
03-10-2015,0.678783,0.709204,0.675482,0.687171,"1,63,326","4,99,81,900"
04-10-2015,0.686343,0.693126,0.660716,0.668379,"1,03,497","5,05,56,000"
05-10-2015,0.666784,0.674438,0.62445,0.628643,"2,34,263","4,91,31,600"
06-10-2015,0.622218,0.653944,0.60623,0.650645,"2,62,674","4,58,63,300"
07-10-2015,0.650515,0.656301,0.602423,0.609388,"2,18,327","4,79,64,700"
08-10-2015,0.609501,0.633138,0.591971,0.621716,"3,10,266","4,49,55,900"
09-10-2015,0.655084,0.692296,0.632116,0.650628,"3,86,420","4,83,34,900"
10-10-2015,0.641187,0.649022,0.624374,0.627857,"1,41,555","4,73,25,200"
11-10-2015,0.627461,0.639506,0.618335,0.634963,"1,02,128","4,63,27,500"
12-10-2015,0.634515,0.657789,0.62603,0.62603,"1,09,567","4,68,64,200"
13-10-2015,0.627943,0.63024,0.599214,0.607655,"3,03,044","4,63,95,200"
14-10-2015,0.61224,0.61224,0.483974,0.522968,"9,71,664","4,52,50,600"
15-10-2015,0.523278,0.572714,0.51473,0.561878,"3,71,022","3,86,88,300"
16-10-2015,0.562593,0.568861,0.522533,0.536495,"2,49,891","4,16,08,900"
17-10-2015,0.534117,0.56346,0.526961,0.547178,"3,13,860","3,95,15,900"
18-10-2015,0.547913,0.552234,0.512861,0.517734,"1,33,690","4,05,50,400"
19-10-2015,0.517621,0.521546,0.480994,0.489014,"2,43,742","3,83,21,300"
20-10-2015,0.489629,0.501898,0.431648,0.434829,"3,83,921","3,62,61,200"
21-10-2015,0.431589,0.482988,0.420897,0.447329,"6,09,085","3,19,73,600"
