Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",2.09,2.12,1.88,1.91,"4,99,30,400","5,80,05,10,000"
"Feb 19, 2018",1.99,2.14,1.99,2.09,"3,25,81,400","5,52,16,10,000"
"Feb 18, 2018",2.2,2.21,1.98,1.98,"4,36,53,800","6,12,16,20,000"
"Feb 17, 2018",2.1,2.21,2.08,2.2,"4,21,49,700","5,84,21,40,000"
"Feb 16, 2018",2.12,2.18,2,2.1,"4,47,70,200","5,89,45,20,000"
"Feb 15, 2018",2.03,2.17,2,2.13,"6,53,15,300","5,63,53,60,000"
"Feb 14, 2018",1.82,2.03,1.79,2.03,"5,30,07,600","5,05,24,50,000"
"Feb 13, 2018",1.87,1.87,1.75,1.81,"3,00,56,900","5,21,16,00,000"
"Feb 12, 2018",1.71,1.91,1.71,1.87,"3,69,74,300","4,76,37,80,000"
"Feb 11, 2018",1.86,1.86,1.62,1.7,"4,53,56,200","5,16,51,80,000"
"Feb 10, 2018",1.96,2.13,1.79,1.86,"6,80,51,900","5,43,79,20,000"
"Feb 09, 2018",1.78,1.97,1.7,1.96,"4,59,92,000","4,95,37,20,000"
"Feb 08, 2018",1.61,1.85,1.61,1.78,"5,15,76,300","4,47,56,90,000"
"Feb 07, 2018",1.62,1.88,1.53,1.6,"6,59,22,600","4,49,15,50,000"
"Feb 06, 2018",1.48,1.7,1.2,1.62,"10,13,27,000","4,10,48,10,000"
"Feb 05, 2018",1.75,1.77,1.35,1.45,"6,92,13,800","4,86,78,20,000"
"Feb 04, 2018",1.98,2.07,1.64,1.74,"5,93,80,900","5,50,37,80,000"
"Feb 03, 2018",1.81,2.02,1.63,1.99,"6,40,62,000","5,02,30,50,000"
"Feb 02, 2018",1.9,1.92,1.41,1.81,"11,80,68,000","5,28,07,40,000"
"Feb 01, 2018",2.31,2.33,1.75,1.91,"10,88,76,000","6,41,99,70,000"
"Jan 31, 2018",2.22,2.34,2.18,2.31,"4,85,05,200","6,16,29,80,000"
"Jan 30, 2018",2.59,2.64,2.2,2.22,"9,42,18,100","7,19,52,20,000"
"Jan 29, 2018",2.52,2.58,2.4,2.58,"6,02,10,600","7,00,75,30,000"
"Jan 28, 2018",2.46,2.56,2.46,2.52,"4,77,52,200","6,83,05,50,000"
"Jan 27, 2018",2.38,2.49,2.37,2.45,"4,33,33,600","6,60,76,70,000"
"Jan 26, 2018",2.36,2.45,2.2,2.37,"6,22,16,500","6,55,81,10,000"
"Jan 25, 2018",2.46,2.59,2.34,2.37,"5,65,86,500","6,84,51,50,000"
"Jan 24, 2018",2.52,2.57,2.37,2.43,"7,34,41,600","6,99,80,60,000"
"Jan 23, 2018",2.47,2.62,2.24,2.5,"8,12,17,500","6,86,15,70,000"
"Jan 22, 2018",2.78,2.9,2.18,2.47,"12,55,55,000","7,73,81,10,000"
