Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",223.09,253.9,222.51,232.85,"1,73,96,70,000","12,33,51,00,000"
"Feb 19, 2018",215.41,226.97,215.38,223.06,"76,75,97,000","11,90,79,00,000"
"Feb 18, 2018",230.51,232.64,214.46,215.74,"1,01,11,20,000","12,73,88,00,000"
"Feb 17, 2018",229.5,233.45,225.6,229.47,"86,34,01,000","12,67,97,00,000"
"Feb 16, 2018",225.5,236.09,212.33,230.12,"1,30,00,90,000","12,45,53,00,000"
"Feb 15, 2018",212.35,237.88,211.17,225.43,"2,08,72,90,000","11,72,57,00,000"
"Feb 14, 2018",159.58,218.23,159.58,213.36,"2,38,33,40,000","8,80,95,90,000"
"Feb 13, 2018",161.78,162.37,153.51,159.55,"48,34,68,000","8,92,83,60,000"
"Feb 12, 2018",150.1,163.35,150.1,161.57,"53,57,10,000","8,28,20,50,000"
"Feb 11, 2018",155.39,155.73,142.61,148.99,"49,57,20,000","8,57,15,30,000"
"Feb 10, 2018",163.49,169.33,149.14,155.59,"57,63,28,000","9,01,58,90,000"
"Feb 09, 2018",149.73,163.98,142.59,163.95,"72,22,05,000","8,25,49,80,000"
"Feb 08, 2018",138.34,151.08,138.34,149.47,"86,92,07,000","7,62,46,30,000"
"Feb 07, 2018",142.48,157.9,131.52,138.2,"81,78,08,000","7,85,11,00,000"
"Feb 06, 2018",127.52,146.11,106.94,142.99,"1,14,84,10,000","7,02,46,30,000"
"Feb 05, 2018",148.73,153.52,118.15,125.33,"84,46,78,000","8,19,05,80,000"
"Feb 04, 2018",160.38,173.8,139.69,148.03,"1,00,60,80,000","8,82,99,70,000"
"Feb 03, 2018",131.4,165.56,121.17,160.25,"68,76,76,000","7,23,24,10,000"
"Feb 02, 2018",142.56,142.56,105.35,131.38,"81,55,40,000","7,84,47,10,000"
"Feb 01, 2018",163.68,165.81,131.55,142.3,"53,98,80,000","9,00,43,30,000"
"Jan 31, 2018",165.3,167.07,157.65,163.35,"36,32,93,000","9,09,08,70,000"
"Jan 30, 2018",181.44,181.52,163.03,165.28,"43,32,27,000","9,97,61,70,000"
"Jan 29, 2018",193.75,194.39,179.23,181.66,"30,35,61,000","10,64,98,00,000"
"Jan 28, 2018",181.42,194.68,181.42,193.87,"36,35,15,000","9,96,94,20,000"
"Jan 27, 2018",176.66,183.15,174.88,180.89,"29,16,33,000","9,70,50,20,000"
"Jan 26, 2018",179.82,182.89,167.08,176.73,"37,54,77,000","9,87,55,90,000"
"Jan 25, 2018",181.56,185.42,176.35,180.27,"36,31,38,000","9,96,87,50,000"
"Jan 24, 2018",178.43,186.28,173.72,179.99,"37,59,49,000","9,79,37,80,000"
"Jan 23, 2018",180.28,186.31,165.73,177.81,"44,17,65,000","9,89,29,90,000"
"Jan 22, 2018",191.79,195.25,166.88,180.01,"49,40,91,000","10,52,19,00,000"
"Jan 21, 2018",211.24,211.24,184.64,190.42,"46,35,16,000","11,58,57,00,000"
"Jan 20, 2018",194.38,214.59,194.38,211.02,"54,07,86,000","10,65,83,00,000"
"Jan 19, 2018",191.19,202.07,186.94,192.96,"56,02,84,000","10,48,08,00,000"
"Jan 18, 2018",186.95,207.02,176.83,192.84,"93,67,84,000","10,24,55,00,000"
"Jan 17, 2018",190.15,197.79,141.01,186.52,"1,42,24,90,000","10,41,78,00,000"
"Jan 16, 2018",232.82,232.82,152.29,188.33,"1,40,50,70,000","12,75,21,00,000"
"Jan 15, 2018",237.29,245,232.77,232.77,"60,17,70,000","12,99,37,00,000"
"Jan 14, 2018",260.58,270.85,234.27,238.68,"88,64,15,000","14,26,50,00,000"
"Jan 13, 2018",236.88,263.19,236.88,259.19,"96,10,43,000","12,96,43,00,000"
"Jan 12, 2018",229.79,243.59,224.82,236.86,"69,11,60,000","12,57,29,00,000"
"Jan 11, 2018",251.52,255.05,223,229.37,"1,07,93,90,000","13,75,84,00,000"
"Jan 10, 2018",248.07,251.05,233.86,250.52,"1,00,99,10,000","13,56,63,00,000"
"Jan 09, 2018",254.61,258.5,240.18,247.04,"94,08,25,000","13,92,02,00,000"
"Jan 08, 2018",287.73,289.07,237.66,255.76,"1,18,20,80,000","15,72,68,00,000"
"Jan 07, 2018",296.05,305.53,281.93,288.45,"1,05,54,00,000","16,17,81,00,000"
"Jan 06, 2018",249.77,323.12,249.41,296.45,"2,26,47,40,000","13,64,53,00,000"
"Jan 05, 2018",241.03,256.15,237.88,249.27,"1,71,06,00,000","13,16,48,00,000"
"Jan 04, 2018",245.47,245.47,227.01,241.37,"3,48,15,50,000","13,40,34,00,000"
"Jan 03, 2018",255.69,260.74,243.13,245.37,"3,21,52,80,000","13,95,78,00,000"
"Jan 02, 2018",228.99,263.63,228.99,255.68,"1,23,79,50,000","12,49,69,00,000"
"Jan 01, 2018",231.67,236.63,222.2,229.03,"63,31,42,000","12,63,97,00,000"
"Dec 31, 2017",216.97,237.79,213.81,232.1,"77,10,42,000","11,83,51,00,000"
"Dec 30, 2017",245.09,245.43,208.2,218.96,"94,36,67,000","13,36,48,00,000"
"Dec 29, 2017",250.35,258.04,238.33,245.5,"1,39,22,10,000","13,64,82,00,000"
"Dec 28, 2017",272.13,273.18,231.38,249.93,"2,59,32,40,000","14,83,12,00,000"
"Dec 27, 2017",286.59,290.94,264.42,272.17,"77,71,38,000","15,61,52,00,000"
"Dec 26, 2017",273.11,289.51,272.26,286.5,"84,29,93,000","14,87,64,00,000"
"Dec 25, 2017",277.49,286.79,269.57,273.39,"80,43,77,000","15,11,14,00,000"
"Dec 24, 2017",291.01,291.01,251.04,275.98,"1,12,29,10,000","15,84,29,00,000"
"Dec 23, 2017",269.27,312.67,261.64,288.27,"1,35,25,80,000","14,65,52,00,000"
"Dec 22, 2017",319.26,320.3,187.48,264.93,"2,93,80,40,000","17,37,12,00,000"
"Dec 21, 2017",314.66,339.74,299.53,317.46,"1,55,59,40,000","17,11,66,00,000"
"Dec 20, 2017",349.6,349.6,308.63,314.62,"2,10,40,60,000","19,01,25,00,000"
"Dec 19, 2017",359.13,375.29,335.68,350.25,"2,15,04,80,000","19,52,55,00,000"
"Dec 18, 2017",318.95,360.93,302,358.34,"1,96,66,00,000","17,33,65,00,000"
"Dec 17, 2017",301.78,332.59,301.78,318.72,"1,70,35,80,000","16,39,88,00,000"
"Dec 16, 2017",299.34,309.9,290.13,298.97,"1,29,13,80,000","16,26,07,00,000"
"Dec 15, 2017",280.97,316.41,251.22,299.78,"2,59,99,40,000","15,25,85,00,000"
"Dec 14, 2017",301.2,311.32,265.66,279.33,"2,11,48,80,000","16,35,24,00,000"
"Dec 13, 2017",315.36,341.8,287.48,302.6,"3,40,97,90,000","17,11,65,00,000"
"Dec 12, 2017",212.46,341.72,209.68,316.16,"6,96,16,80,000","11,52,86,00,000"
"Dec 11, 2017",148.26,225.29,147.34,214.2,"2,91,39,80,000","8,04,20,20,000"
"Dec 10, 2017",155.63,155.63,130.16,148.66,"1,08,73,40,000","8,43,88,40,000"
"Dec 09, 2017",127.48,171.55,126.59,155.24,"2,43,65,40,000","6,91,03,60,000"
"Dec 08, 2017",98.33,133.07,95.4,124.85,"1,51,55,60,000","5,32,79,10,000"
"Dec 07, 2017",99.98,101.34,92.27,98.29,"64,56,91,000","5,41,57,10,000"
"Dec 06, 2017",102.48,104.82,97.31,100.35,"54,75,12,000","5,54,88,60,000"
"Dec 05, 2017",104.28,104.3,101.84,102.4,"32,87,26,000","5,64,43,90,000"
"Dec 04, 2017",101.4,104.24,96.53,104.24,"33,11,51,000","5,48,67,40,000"
"Dec 03, 2017",100.19,106.39,98.1,101.26,"36,40,22,000","5,42,03,80,000"
"Dec 02, 2017",98.94,103.8,98.32,100.28,"40,25,54,000","5,35,13,30,000"
"Dec 01, 2017",88,100.41,83.74,99,"56,13,43,000","4,75,86,00,000"
"Nov 30, 2017",86.25,93.54,78.08,88.33,"48,19,48,000","4,66,23,40,000"
"Nov 29, 2017",96.01,104.61,81.77,85.57,"78,68,20,000","5,18,85,80,000"
"Nov 28, 2017",91.72,96.03,90.34,96.03,"38,89,31,000","4,95,52,90,000"
"Nov 27, 2017",85.89,93.29,85.89,91.6,"42,95,91,000","4,63,85,80,000"
"Nov 26, 2017",88.94,88.94,84.02,85.93,"35,74,57,000","4,80,18,30,000"
