Date,Open,High,Low,Close,Volume,Market Cap
22-05-2014,2.47,2.65,1.23,1.6,"2,46,540","20,79,640"
23-05-2014,1.59,2.19,1.36,2.1,"1,32,918","13,71,470"
24-05-2014,2.05,3.43,2.05,2.96,"2,66,852","18,16,200"
25-05-2014,2.92,4.01,2.62,3.7,"2,48,028","26,53,720"
26-05-2014,4.04,4.04,2.8,3.14,"2,83,545","37,74,890"
27-05-2014,3.22,3.76,2.31,3.02,"2,20,148","30,70,190"
28-05-2014,3.03,3.03,2.07,2.21,"97,603","29,58,060"
29-05-2014,2.24,2.85,1.91,2.27,"1,77,716","22,31,880"
30-05-2014,2.21,2.49,1.68,1.68,"1,09,157","22,51,030"
31-05-2014,1.68,1.87,1.08,1.57,"1,19,296","17,42,630"
01-06-2014,1.58,2.28,1.41,1.94,"1,17,399","16,75,440"
02-06-2014,1.94,2.57,1.54,1.74,"1,30,602","21,11,850"
03-06-2014,1.76,1.94,1.6,1.73,"47,672","19,64,820"
04-06-2014,1.73,2.1,1.65,1.93,"91,332","19,66,370"
05-06-2014,1.93,1.99,1.71,1.81,"51,886","22,38,440"
06-06-2014,1.46,1.51,1.17,1.24,"1,00,635","17,81,530"
07-06-2014,1.24,1.69,1.21,1.36,"44,187","15,23,430"
08-06-2014,1.36,1.44,1.24,1.34,"40,634","17,02,900"
09-06-2014,1.33,1.64,1.27,1.52,"56,500","16,97,580"
10-06-2014,1.48,2.39,1.31,1.73,"1,82,599","19,17,820"
11-06-2014,1.72,2.17,1.53,1.62,"85,735","22,79,840"
12-06-2014,1.62,2.17,1.53,1.74,"1,08,619","21,74,900"
13-06-2014,1.65,1.96,1.62,1.92,"84,237","22,57,650"
14-06-2014,1.93,2.82,1.88,2.34,"2,76,919","26,77,530"
15-06-2014,2.32,2.75,2.25,2.69,"1,50,652","32,88,170"
16-06-2014,2.72,3.55,2.62,3.18,"4,38,776","39,05,660"
17-06-2014,3.15,3.31,2.72,2.82,"2,28,445","46,01,540"
18-06-2014,2.9,2.98,2.46,2.79,"1,83,102","43,04,890"
19-06-2014,2.78,3.52,2.68,3.13,"2,83,962","41,88,790"
20-06-2014,3.17,4.59,3.12,4.56,"5,43,764","48,44,000"
21-06-2014,4.33,5.85,4.14,5.01,"7,23,077","67,30,580"
22-06-2014,4.98,5.21,4.02,4.35,"4,91,984","78,53,920"
23-06-2014,4.28,4.82,3.77,3.98,"4,33,301","68,51,250"
24-06-2014,3.93,4.07,2.96,3.28,"1,50,995","63,74,590"
25-06-2014,3.23,3.39,2.63,3.39,"2,17,183","53,13,820"
26-06-2014,3.28,3.38,2.8,2.89,"1,17,740","54,71,230"
27-06-2014,2.98,3,2.07,2.2,"2,50,643","50,44,180"
28-06-2014,2.32,2.9,2.25,2.55,"1,84,970","39,97,740"
29-06-2014,2.55,2.76,2.26,2.54,"1,38,511","44,34,960"
30-06-2014,2.55,2.7,2.44,2.5,"1,24,575","44,84,350"
01-07-2014,2.51,2.65,2.34,2.35,"98,540","44,70,350"
02-07-2014,2.34,2.54,2.26,2.31,"1,01,095","42,25,600"
03-07-2014,2.31,2.82,2.23,2.64,"1,68,532","42,17,730"
04-07-2014,2.64,3,2.54,2.64,"1,48,555","48,99,760"
05-07-2014,2.64,2.64,2.44,2.47,"68,525","49,56,910"
06-07-2014,2.47,2.48,2.29,2.4,"77,663","46,90,900"
07-07-2014,2.4,2.4,1.95,1.99,"1,11,370","46,09,840"
08-07-2014,1.98,2.36,1.97,2.35,"94,993","38,51,290"
09-07-2014,2.3,2.31,1.99,2.01,"69,554","45,18,280"
10-07-2014,2.03,2.09,1.86,1.89,"89,099","40,33,590"
11-07-2014,1.86,1.92,1.72,1.79,"1,16,666","37,46,700"
12-07-2014,1.79,1.94,1.72,1.73,"65,375","36,48,870"
13-07-2014,1.73,1.97,1.46,1.79,"1,22,049","35,62,450"
14-07-2014,1.79,1.99,1.62,1.97,"1,00,284","37,16,450"
15-07-2014,1.95,2.2,1.79,2.11,"1,36,205","40,96,760"
16-07-2014,2.16,2.93,2.05,2.71,"3,53,430","45,85,570"
17-07-2014,2.71,3.58,2.64,2.98,"5,03,684","58,04,450"
18-07-2014,3.03,3.29,2.46,2.62,"3,48,336","65,77,180"
19-07-2014,2.59,3.07,2.54,2.88,"1,69,471","56,80,000"
