Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",0.529133,0.529133,0.481098,0.484397,"6,60,39,700","4,76,21,90,000"
"Feb 19, 2018",0.528994,0.537727,0.518834,0.529261,"9,10,07,400","4,76,09,50,000"
"Feb 18, 2018",0.595298,0.595298,0.527599,0.530407,"9,57,81,300","5,35,76,80,000"
"Feb 17, 2018",0.565686,0.602952,0.560204,0.59888,"14,77,88,000","5,09,11,70,000"
"Feb 16, 2018",0.560086,0.598202,0.548458,0.568887,"9,00,28,500","5,04,07,80,000"
"Feb 15, 2018",0.569045,0.588881,0.544115,0.561359,"6,72,95,600","5,12,14,00,000"
"Feb 14, 2018",0.53192,0.570553,0.528626,0.570005,"7,34,77,500","4,78,72,80,000"
"Feb 13, 2018",0.560197,0.567745,0.52682,0.533186,"3,63,79,100","5,04,17,70,000"
"Feb 12, 2018",0.532219,0.561441,0.530871,0.557894,"2,24,79,700","4,78,99,80,000"
"Feb 11, 2018",0.589823,0.589823,0.514947,0.52864,"2,85,15,100","5,30,84,10,000"
"Feb 10, 2018",0.598384,0.64492,0.55753,0.590511,"7,41,66,200","5,38,54,60,000"
"Feb 09, 2018",0.544268,0.590486,0.517372,0.590486,"6,03,40,000","4,89,84,10,000"
"Feb 08, 2018",0.536245,0.594279,0.525279,0.543094,"4,26,40,900","4,82,62,00,000"
"Feb 07, 2018",0.582114,0.617025,0.52197,0.536718,"5,92,31,300","5,23,90,20,000"
"Feb 06, 2018",0.455961,0.5842,0.397361,0.5842,"5,03,11,400","4,10,36,50,000"
"Feb 05, 2018",0.54898,0.559763,0.44034,0.449672,"2,85,90,400","4,94,08,20,000"
"Feb 04, 2018",0.627271,0.664819,0.536007,0.55087,"4,13,94,700","5,64,54,40,000"
"Feb 03, 2018",0.584534,0.652762,0.512837,0.628795,"4,25,20,900","5,26,08,00,000"
"Feb 02, 2018",0.613639,0.621158,0.440361,0.582652,"5,45,11,900","5,52,27,50,000"
"Feb 01, 2018",0.791554,0.804491,0.614392,0.618265,"4,66,39,300","7,12,39,80,000"
"Jan 31, 2018",0.785675,0.787938,0.737936,0.779857,"5,01,05,100","7,07,10,80,000"
"Jan 30, 2018",0.935732,0.935732,0.776117,0.776491,"4,71,94,000","8,42,15,90,000"
"Jan 29, 2018",1.03,1.03,0.923629,0.935431,"4,73,81,700","9,25,34,30,000"
"Jan 28, 2018",1.06,1.06,1.01,1.03,"8,36,12,400","9,50,66,30,000"
"Jan 27, 2018",0.843234,1.11,0.817192,1.06,"23,75,29,000","7,58,91,10,000"
"Jan 26, 2018",0.944931,1.02,0.765609,0.839974,"17,47,49,000","8,50,43,80,000"
"Jan 25, 2018",0.973386,1,0.924831,0.9491,"5,78,45,600","8,76,04,80,000"
"Jan 24, 2018",0.947215,0.994965,0.907137,0.96375,"5,79,75,100","8,52,49,40,000"
"Jan 23, 2018",0.987091,1.01,0.877437,0.942383,"6,72,45,800","8,88,38,20,000"
"Jan 22, 2018",1.08,1.1,0.899927,0.991465,"7,39,47,400","9,70,09,10,000"
"Jan 21, 2018",1.22,1.22,1.02,1.07,"11,25,42,000","11,01,93,00,000"
"Jan 20, 2018",1.1,1.21,1.1,1.21,"12,99,00,000","9,90,17,20,000"
