Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",137.95,142.01,127.86,128.36,"23,92,38,000","8,96,64,90,000"
"Feb 19, 2018",127.23,138.52,126.7,137.47,"20,15,51,000","8,27,02,90,000"
"Feb 18, 2018",136.4,137.95,124.32,127.38,"20,76,24,000","8,86,61,00,000"
"Feb 17, 2018",131.03,139.8,129.42,136.75,"28,63,85,000","8,51,66,20,000"
"Feb 16, 2018",123.02,130.62,119.94,128.85,"19,48,78,000","7,99,63,80,000"
"Feb 15, 2018",122,125.76,118.79,123.29,"21,86,16,000","7,93,03,00,000"
"Feb 14, 2018",110.86,123.03,110.86,122.52,"22,86,93,000","7,20,61,40,000"
"Feb 13, 2018",113.64,114.93,108.64,111.17,"17,69,66,000","7,38,64,20,000"
"Feb 12, 2018",104.18,115.85,104.18,113.25,"27,20,89,000","6,77,16,00,000"
"Feb 11, 2018",110.45,113.19,96.78,103.4,"25,79,44,000","7,17,90,00,000"
"Feb 10, 2018",117.21,122.84,104.98,110.63,"35,53,23,000","7,61,88,80,000"
"Feb 09, 2018",111.99,117.65,108.84,117.57,"21,24,50,000","7,27,93,10,000"
"Feb 08, 2018",104.06,117,104.06,112.43,"54,67,33,000","6,76,35,60,000"
"Feb 07, 2018",105.13,118.5,94.94,102.5,"57,17,24,000","6,83,37,00,000"
"Feb 06, 2018",84.07,109.21,64.88,105.95,"65,99,46,000","5,46,45,10,000"
"Feb 05, 2018",107.58,108.97,75.75,82.37,"31,20,96,000","6,99,23,80,000"
"Feb 04, 2018",122.22,124.01,102.03,107.45,"20,36,74,000","7,94,39,70,000"
"Feb 03, 2018",121.03,127.28,106.91,122.97,"25,57,07,000","7,86,72,10,000"
"Feb 02, 2018",125.64,129.19,91.96,120.13,"55,26,39,000","8,16,67,10,000"
"Feb 01, 2018",145.96,147.16,115.27,126,"35,64,95,000","9,48,72,00,000"
"Jan 31, 2018",145.4,148.18,133.32,145.76,"35,73,09,000","9,45,10,90,000"
"Jan 30, 2018",168.86,173.75,140.13,146.28,"67,02,95,000","10,97,61,00,000"
"Jan 29, 2018",152.08,168.14,151.46,168.14,"60,25,14,000","9,88,52,60,000"
"Jan 28, 2018",140.37,153.61,140.37,152.16,"24,61,75,000","9,12,41,00,000"
"Jan 27, 2018",138.14,142.07,134.35,140.2,"20,78,68,000","8,97,91,50,000"
"Jan 26, 2018",137.75,141.13,126.53,137.89,"32,40,67,000","8,95,36,00,000"
"Jan 25, 2018",138.09,146.94,134.58,138,"31,50,10,000","8,97,61,50,000"
"Jan 24, 2018",122.57,144.12,118.15,136.41,"43,33,60,000","7,96,69,80,000"
"Jan 23, 2018",123.37,129.71,110.18,121.6,"26,33,89,000","8,01,87,70,000"
"Jan 22, 2018",132.3,137.78,112.38,123.66,"34,66,11,000","8,59,94,80,000"
"Jan 21, 2018",150.23,150.23,126.2,131.09,"34,60,48,000","9,76,48,00,000"
"Jan 20, 2018",140.49,157.19,138.65,149.94,"50,16,71,000","9,13,20,20,000"
"Jan 19, 2018",141.25,150.15,132.97,139.5,"49,48,00,000","9,18,11,30,000"
"Jan 18, 2018",142.6,159.49,129.85,142.66,"83,86,34,000","9,26,92,00,000"
"Jan 17, 2018",144.72,154.29,94.57,141.37,"1,58,79,20,000","9,40,71,50,000"
"Jan 16, 2018",187.97,187.97,104.29,145.3,"1,66,44,30,000","12,21,79,00,000"
"Jan 15, 2018",170.1,196.85,147.4,187.41,"1,45,56,20,000","11,05,65,00,000"
"Jan 14, 2018",140.56,176.83,135.92,170.42,"64,86,94,000","9,13,64,60,000"
"Jan 13, 2018",124.15,146.51,124.15,140.62,"45,57,03,000","8,06,95,00,000"
"Jan 12, 2018",109.19,126.55,105.25,124.47,"23,47,57,000","7,09,70,50,000"
"Jan 11, 2018",123.1,124.33,102.66,108.3,"27,07,18,000","8,00,17,80,000"
"Jan 10, 2018",127.23,127.26,111.05,122.99,"36,17,97,000","8,27,02,80,000"
"Jan 09, 2018",102.07,129.87,101.84,126.94,"52,96,63,000","6,63,43,10,000"
"Jan 08, 2018",102.12,108.6,90.68,102.38,"23,13,95,000","6,63,80,00,000"
"Jan 07, 2018",101.12,108.52,99.2,102.43,"19,66,21,000","6,57,28,70,000"
"Jan 06, 2018",95.31,103.13,91.9,100.86,"18,77,46,000","6,19,50,60,000"
"Jan 05, 2018",98.91,106.24,89.58,95.28,"29,29,33,000","6,42,92,20,000"
"Jan 04, 2018",104.79,109.2,96.24,99.11,"33,25,46,000","6,81,14,20,000"
"Jan 03, 2018",90.3,105.56,86.89,105.56,"28,80,86,000","5,86,92,50,000"
"Jan 02, 2018",78.53,97.01,78.53,90.33,"37,33,77,000","5,10,41,80,000"
"Jan 01, 2018",76.19,80.69,72.72,78.82,"14,20,94,000","4,95,24,50,000"
"Dec 31, 2017",72.56,78.01,67.69,75.96,"18,13,57,000","4,71,60,90,000"
"Dec 30, 2017",74.18,74.54,63.02,72.4,"20,23,77,000","4,82,18,40,000"
"Dec 29, 2017",65.7,74.82,63.14,73.9,"16,33,31,000","4,27,05,20,000"
"Dec 28, 2017",66.76,66.94,58.22,65.43,"13,55,92,000","4,33,95,30,000"
"Dec 27, 2017",65.53,70.29,62.88,66.88,"15,37,15,000","4,25,92,10,000"
"Dec 26, 2017",66.61,68.8,61.86,65.52,"19,54,66,000","4,32,93,90,000"
"Dec 25, 2017",60.27,68.37,58.39,66.32,"17,05,38,000","3,91,74,00,000"
"Dec 24, 2017",59.32,59.97,51.84,59.7,"16,01,58,000","3,85,59,00,000"
"Dec 23, 2017",56.32,67.75,56.32,58.9,"14,62,82,000","3,66,07,10,000"
"Dec 22, 2017",71.54,72.28,43.39,55.57,"29,75,79,000","4,65,02,20,000"
"Dec 21, 2017",76.12,79.04,67.49,71.37,"22,52,72,000","4,94,80,10,000"
"Dec 20, 2017",71.31,77.5,63.1,75.62,"30,59,12,000","4,63,49,20,000"
"Dec 19, 2017",77.19,82.1,66.59,70.81,"29,00,83,000","5,01,74,20,000"
"Dec 18, 2017",68.45,81.06,63.96,77.22,"43,78,49,000","4,44,95,40,000"
"Dec 17, 2017",49.74,71.72,49.74,68.11,"50,07,99,000","3,23,31,20,000"
"Dec 16, 2017",48.14,52.26,46.93,49.81,"16,47,23,000","3,12,92,70,000"
"Dec 15, 2017",50.54,51.24,43.13,47.99,"20,40,65,000","3,28,50,20,000"
"Dec 14, 2017",44.9,53.65,44.4,50.62,"31,31,47,000","2,91,87,00,000"
"Dec 13, 2017",40.73,49.07,37.49,44.81,"29,45,00,000","2,64,76,20,000"
"Dec 12, 2017",36.22,41.28,35.32,40.41,"13,27,96,000","2,35,43,70,000"
"Dec 11, 2017",33.32,36.57,33.32,35.88,"7,73,23,800","2,16,57,50,000"
"Dec 10, 2017",35.79,35.79,32.51,33.31,"7,21,33,600","2,32,65,50,000"
"Dec 09, 2017",35.96,38.98,34.87,35.71,"9,32,55,300","2,33,72,50,000"
"Dec 08, 2017",34.84,37.38,32.36,36.27,"12,54,50,000","2,26,45,60,000"
"Dec 07, 2017",35.04,37.26,33.31,34.86,"12,53,01,000","2,27,73,40,000"
"Dec 06, 2017",38.75,38.85,34.4,35.16,"11,87,45,000","2,51,84,60,000"
"Dec 05, 2017",41.99,42.79,38.82,38.82,"10,14,80,000","2,72,91,60,000"
"Dec 04, 2017",36.65,43,36.62,42.17,"16,04,30,000","2,38,21,60,000"
"Dec 03, 2017",35.09,39.52,35.03,36.62,"7,98,01,700","2,28,11,80,000"
"Dec 02, 2017",35.84,36.61,34.51,35.07,"4,89,91,700","2,32,96,90,000"
"Dec 01, 2017",32.89,36.23,31.36,35.84,"8,93,59,700","2,13,77,90,000"
"Nov 30, 2017",32.54,34.98,30.09,32.96,"7,88,95,100","2,11,53,60,000"
"Nov 29, 2017",37.99,39.44,31.23,32.28,"13,71,23,000","2,46,93,40,000"
"Nov 28, 2017",40.13,40.13,37.47,38.08,"8,01,29,000","2,60,86,60,000"
"Nov 27, 2017",38.32,41.91,38.32,40.13,"8,33,45,900","2,49,10,20,000"
"Nov 26, 2017",38.04,39.2,37.49,38.44,"6,15,97,700","2,47,26,80,000"
"Nov 25, 2017",34.83,39.86,34.6,38.13,"12,51,13,000","2,26,36,90,000"
"Nov 24, 2017",34.89,35.7,33.46,34.79,"6,89,77,700","2,26,79,40,000"
"Nov 23, 2017",35.83,36.29,34.5,34.9,"6,89,17,800","2,32,92,00,000"
"Nov 22, 2017",34.45,36.98,34.45,35.86,"8,23,78,800","2,23,90,40,000"
"Nov 21, 2017",36.21,37.16,33.38,34.36,"13,33,33,000","2,35,35,70,000"
"Nov 20, 2017",39.94,43.14,35.64,35.64,"24,39,06,000","2,59,60,80,000"
"Nov 19, 2017",43.01,45.45,36.66,39.75,"27,30,35,000","2,79,54,40,000"
"Nov 18, 2017",39.74,48.09,36.28,42.74,"43,48,27,000","2,58,30,10,000"
"Nov 17, 2017",28.71,41.08,28.36,40.5,"25,28,34,000","1,86,63,60,000"
"Nov 16, 2017",29.45,29.93,28.48,28.7,"4,08,95,700","1,91,39,70,000"
"Nov 15, 2017",29.79,30.59,28.26,29.35,"4,51,03,700","1,93,61,70,000"
"Nov 14, 2017",28.4,29.96,28.1,29.73,"3,94,36,300","1,84,57,50,000"
"Nov 13, 2017",27.12,28.97,26.59,28.4,"4,12,99,400","1,76,26,20,000"
"Nov 12, 2017",28.44,28.45,25.31,26.96,"6,35,88,200","1,84,85,80,000"
"Nov 11, 2017",28.15,29.93,27.4,28.53,"4,59,94,100","1,82,96,10,000"
"Nov 10, 2017",31.97,32.44,26.74,28.18,"5,77,56,900","2,07,81,10,000"
"Nov 09, 2017",30.76,33.02,30.58,31.9,"7,99,19,300","1,99,95,30,000"
"Nov 08, 2017",26.17,33.81,26.02,30.67,"12,02,73,000","1,70,09,50,000"
"Nov 07, 2017",26.26,26.52,25.62,26.23,"4,01,46,900","1,70,66,00,000"
"Nov 06, 2017",26.47,26.81,25.95,26.32,"2,67,98,400","1,72,07,60,000"
"Nov 05, 2017",26.48,26.72,25.79,26.38,"2,52,29,700","1,72,10,90,000"
"Nov 04, 2017",26.77,27.74,25.94,26.49,"3,18,70,600","1,73,99,80,000"
"Nov 03, 2017",24.6,26.9,24.39,26.82,"4,01,42,100","1,59,89,60,000"
"Nov 02, 2017",26.75,26.75,22.89,24.5,"7,44,55,200","1,73,87,20,000"
"Nov 01, 2017",28.38,28.44,26.68,26.86,"4,97,82,800","1,84,47,40,000"
"Oct 31, 2017",28.69,30.44,28.47,28.47,"6,16,88,400","1,86,48,90,000"
"Oct 30, 2017",27.72,29.49,27.71,28.79,"3,09,68,500","1,80,16,20,000"
"Oct 29, 2017",27.2,28.61,27.2,27.76,"2,97,36,500","1,36,02,30,000"
"Oct 28, 2017",28.86,28.99,27.17,27.35,"2,53,68,200","1,44,30,00,000"
"Oct 27, 2017",28.33,28.88,28.1,28.76,"2,89,19,000","1,41,63,50,000"
"Oct 26, 2017",28.48,29.39,28.06,28.33,"3,59,87,900","1,42,39,50,000"
"Oct 25, 2017",30.11,30.11,28.54,28.54,"3,55,58,400","1,50,55,90,000"
"Oct 24, 2017",27.34,32.72,26.73,30.15,"7,82,25,600","1,36,72,40,000"
"Oct 23, 2017",28.49,28.65,26.43,27.51,"2,81,54,800","1,42,46,10,000"
"Oct 22, 2017",27.15,29.48,27.1,28.79,"3,61,84,100","1,35,75,00,000"
"Oct 21, 2017",27.76,28.28,26.04,27.13,"3,40,58,900","1,38,78,40,000"
"Oct 20, 2017",28.68,29.5,27.73,27.75,"3,69,33,700","1,43,38,80,000"
"Oct 19, 2017",29.66,29.96,28.48,28.66,"3,04,01,400","1,48,29,70,000"
"Oct 18, 2017",31.66,31.78,28.44,29.67,"4,96,59,700","1,58,31,90,000"
"Oct 17, 2017",28.5,32.55,27.81,31.4,"7,42,10,000","1,42,50,90,000"
"Oct 16, 2017",27.76,29.07,26.96,28.53,"3,47,13,200","1,38,80,80,000"
"Oct 15, 2017",27.65,28.47,26.91,27.73,"3,11,89,200","1,38,24,50,000"
"Oct 14, 2017",29.32,29.45,27.65,27.8,"3,35,51,100","1,46,59,80,000"
"Oct 13, 2017",27.85,29.87,26.45,29.35,"8,13,65,000","1,39,26,60,000"
"Oct 12, 2017",30.01,30.36,27.61,28.18,"6,10,80,400","1,50,05,20,000"
"Oct 11, 2017",29.3,31.23,29.3,29.96,"3,36,27,700","1,46,49,40,000"
"Oct 10, 2017",29.15,31.2,28.07,29.31,"4,82,23,600","1,45,72,70,000"
"Oct 09, 2017",32.04,32.79,26.78,29.1,"9,82,90,300","1,60,18,00,000"
"Oct 08, 2017",35.64,37.23,31.01,32.07,"10,77,25,000","1,78,18,10,000"
"Oct 07, 2017",33.54,36.15,33.3,36.14,"4,80,58,800","1,67,70,00,000"
"Oct 06, 2017",32.5,34.32,32.23,33.52,"4,72,67,100","1,62,50,60,000"
"Oct 05, 2017",31.21,33.31,28.98,32.28,"6,67,85,000","1,56,06,80,000"
"Oct 04, 2017",33.79,35.03,30.09,31.16,"6,05,65,900","1,68,93,90,000"
"Oct 03, 2017",36.65,36.79,32.01,33.61,"7,41,99,600","1,83,25,30,000"
"Oct 02, 2017",35.7,39.01,34.9,36.74,"11,60,98,000","1,78,51,60,000"
"Oct 01, 2017",34.12,35.83,31.82,35.72,"7,21,69,500","1,70,58,80,000"
"Sep 30, 2017",28.59,34.24,28.45,34.21,"8,21,81,600","1,42,95,00,000"
"Sep 29, 2017",30.25,30.41,26.13,28.64,"7,25,58,300","1,51,25,30,000"
"Sep 28, 2017",31.78,32.69,27.68,29.76,"10,11,95,000","1,58,91,70,000"
"Sep 27, 2017",26.32,34.03,26.32,31.79,"16,31,63,000","1,31,60,40,000"
"Sep 26, 2017",26.12,27.3,24.46,26.38,"6,58,68,600","1,30,59,90,000"
"Sep 25, 2017",19.8,27.08,19.8,26.02,"8,12,25,500","98,98,92,000"
"Sep 24, 2017",20.17,20.43,19.28,19.79,"1,19,67,200","1,00,86,60,000"
