Date,Open,High,Low,Close,Volume,Market Cap
23-06-2017,35.05,48.58,17.67,45.63,"43,54,180",0
24-06-2017,44.48,116.4,42.04,101.83,"1,73,22,100","5,44,22,400"
25-06-2017,103.21,168.49,72.49,86.55,"3,43,31,400","12,62,69,000"
26-06-2017,88.17,98.78,49.7,59.9,"96,39,820","10,78,75,000"
27-06-2017,59.82,62.31,36.29,53.05,"68,24,330","7,31,91,200"
28-06-2017,51.92,58.38,46.21,53.07,"43,97,750","6,35,17,500"
29-06-2017,53.26,53.26,38.82,42.89,"31,30,230","6,51,59,400"
30-06-2017,42.26,43.96,29.13,34.2,"48,24,820","5,17,03,800"
01-07-2017,34.19,68.93,33.29,45.26,"1,28,54,500","4,18,35,200"
02-07-2017,43.12,54.01,39.95,42.87,"36,10,660","5,27,49,500"
03-07-2017,43.17,46.92,41.41,41.69,"13,48,590","5,28,10,600"
04-07-2017,41.6,43.46,37.38,39.42,"19,17,540","5,08,95,200"
05-07-2017,39.39,41.59,37.64,39.03,"8,29,545","4,81,95,200"
06-07-2017,38.6,39.21,32.2,35.79,"15,38,390","4,72,27,600"
07-07-2017,36.08,36.88,25.44,29.39,"12,77,090","4,41,38,900"
08-07-2017,28.99,30.77,23.66,27.51,"8,60,141","3,54,65,600"
09-07-2017,27.54,30.14,26.83,28.29,"5,76,144","3,36,95,700"
10-07-2017,28.65,31.54,20.99,24.04,"6,78,731","3,50,55,400"
11-07-2017,23.53,26.49,18.33,20.73,"6,13,446","2,87,87,300"
12-07-2017,20.32,32.9,18.75,30.71,"15,38,890","2,48,56,500"
13-07-2017,30.83,31.24,25.64,26.82,"4,53,602","3,77,15,200"
14-07-2017,26.8,27.67,21.18,23.24,"4,24,550","3,27,87,700"
15-07-2017,23.2,23.24,18.69,19.05,"2,69,653","2,83,83,800"
16-07-2017,18.99,20.06,16.54,17.49,"2,13,544","2,32,36,900"
17-07-2017,17.46,22.79,17.46,22.69,"2,72,026","2,13,63,400"
18-07-2017,23.11,29.48,20.47,25.31,"5,50,981","2,82,72,600"
19-07-2017,25.08,35.93,23.53,28.23,"19,59,790","3,06,89,100"
20-07-2017,27.93,39.44,26.73,35.54,"11,16,080","3,41,74,900"
21-07-2017,35.87,38.4,33.27,34.14,"3,20,166","4,38,66,500"
22-07-2017,34.14,41.15,33.96,36.59,"9,09,922","4,17,51,100"
23-07-2017,36.59,37.54,32.41,32.89,"5,15,553","4,47,48,100"
24-07-2017,33.01,36.16,32.04,33.69,"5,51,830","4,03,70,800"
25-07-2017,33.69,33.89,25.92,27.29,"4,60,800","4,12,10,000"
26-07-2017,27.65,28.93,24.75,26.97,"3,23,792","3,38,14,100"
27-07-2017,27.48,28.43,26.25,27.64,"1,63,616","3,36,10,800"
28-07-2017,27.72,28.26,24.15,25.37,"2,14,957","3,38,99,000"
29-07-2017,25.28,26.29,24.13,25.87,"1,20,964","3,09,20,300"
30-07-2017,25.88,27.32,24.76,26.51,"1,16,912","3,16,49,900"
31-07-2017,26.01,26.47,24.69,25.28,"1,66,615","3,18,10,000"
01-08-2017,25.65,30.04,24.18,26.17,"3,05,623","3,13,74,200"
02-08-2017,26.15,29.96,24.75,26.23,"5,51,211","3,19,86,000"
03-08-2017,26.26,28.38,25.59,27.17,"3,20,060","3,21,07,700"
04-08-2017,26.8,28.27,26.47,26.63,"4,03,184","3,27,72,500"
05-08-2017,26.66,30.41,26.59,29.25,"5,58,040","3,26,06,100"
06-08-2017,29.42,29.76,27.6,28.38,"3,86,351","3,59,80,100"
07-08-2017,28.32,30.01,26.7,27.93,"4,56,117","3,46,25,700"
08-08-2017,27.86,28.34,25.22,27.97,"5,21,900","3,40,67,900"
09-08-2017,27.96,33.04,26.79,29.24,"11,28,830","3,50,34,100"
10-08-2017,28.84,29.21,26.46,26.46,"7,48,370","3,61,36,200"
11-08-2017,26.46,41.47,26.06,33.64,"32,02,390","3,31,43,700"
12-08-2017,34.64,47.85,32.8,43.37,"26,80,510","4,33,92,300"
13-08-2017,43.83,46.78,33.13,36.78,"14,31,600","5,49,13,000"
14-08-2017,36.8,38.09,32.76,34.65,"7,63,860","4,61,04,500"
15-08-2017,34.85,36.1,30.67,31.23,"7,63,238","4,36,59,400"
16-08-2017,31.27,37.92,30.37,33.62,"8,64,797","3,91,76,900"
17-08-2017,33.79,36.14,31.85,33.92,"7,39,864","4,23,25,000"
18-08-2017,34.17,39.43,31.88,35.03,"16,12,640","4,27,97,100"
19-08-2017,35.56,37.01,31.6,34.84,"5,82,704","4,45,42,600"
20-08-2017,34.73,43.36,32.52,42.53,"18,94,140","4,34,99,200"
21-08-2017,42.41,48.73,33.48,34.58,"21,45,180","5,31,21,100"
22-08-2017,34.75,37.23,31.91,35.61,"5,61,611","4,35,26,300"
23-08-2017,35.53,38.34,34.85,36.49,"4,43,443","4,45,06,600"
24-08-2017,35.6,37.29,34.84,35.39,"4,66,415","4,45,77,800"
25-08-2017,35.51,37.67,32.94,35.24,"8,45,188","4,44,68,400"
26-08-2017,35.31,37.01,33.54,34.93,"3,63,769","4,42,20,200"
27-08-2017,35.16,36.33,34.05,35.53,"3,72,296","4,40,33,500"
28-08-2017,35.56,36.2,34.11,36.07,"4,02,594","4,45,37,800"
29-08-2017,36.12,36.84,34.43,34.92,"4,89,247","4,52,36,000"
30-08-2017,34.89,38.4,34.61,35.84,"5,49,569","4,36,94,000"
31-08-2017,35.78,36.6,34.27,35.62,"4,52,411","4,47,76,600"
01-09-2017,35.67,35.9,31.35,32.45,"10,24,920","4,46,36,600"
02-09-2017,32.49,33.01,26.79,27.24,"6,33,861","4,06,58,600"
03-09-2017,27.7,29.36,24.99,26.9,"4,93,926","3,46,62,300"
04-09-2017,26.91,27.34,17.99,20.74,"7,16,231","3,36,73,500"
05-09-2017,20.87,23.62,18.91,21.53,"3,49,885","2,61,15,800"
06-09-2017,21.64,26.31,20.75,22.38,"4,73,273","2,70,76,900"
07-09-2017,22.34,23.16,20.41,21.53,"2,62,532","2,79,47,600"
08-09-2017,21.53,23.25,18.28,19.13,"3,05,855","2,69,35,100"
09-09-2017,19.17,25.34,17.42,22.97,"13,45,530","2,39,77,600"
10-09-2017,23.04,27.28,19.26,21.24,"14,48,320","2,88,21,700"
11-09-2017,21.48,21.48,18.04,18.98,"3,35,702","2,68,68,700"
12-09-2017,19.24,20.09,17.44,19.09,"3,98,928","2,40,63,900"
13-09-2017,18.93,18.93,15.94,17.12,"3,11,553","2,36,73,000"
14-09-2017,17.15,17.49,13.43,13.43,"2,08,388","2,14,35,700"
15-09-2017,13.53,17.18,12.28,17.07,"2,29,961","1,69,19,700"
16-09-2017,17.03,17.03,14.92,15.54,"1,06,754","2,12,90,500"
17-09-2017,15.52,16.81,14.72,16.59,"74,804","1,94,09,800"
18-09-2017,16.56,17.95,15.42,16.96,"2,19,636","2,07,03,500"
19-09-2017,17,17,15.31,15.6,"1,49,142","2,12,52,800"
20-09-2017,15.58,16.12,14.75,15.22,"1,60,192","1,94,78,000"
21-09-2017,15.15,15.15,12.78,13.17,"1,70,853","1,89,36,100"
22-09-2017,13.15,13.91,12.73,13.16,"55,768","1,64,41,500"
23-09-2017,13,14,12.79,13.73,"1,24,841","1,62,52,500"
24-09-2017,13.73,16.62,13.2,15.53,"6,86,526","1,71,57,200"
25-09-2017,15.53,16.09,14.24,15.34,"2,87,753","1,94,16,300"
26-09-2017,15.38,15.73,14.77,15.15,"1,43,434","1,92,22,600"
27-09-2017,15.03,17.19,14.7,16.91,"2,77,008","1,87,85,600"
28-09-2017,17.02,17.05,14.99,15.42,"1,25,586","2,12,68,800"
29-09-2017,15.41,15.42,14.08,14.73,"1,35,492","1,92,54,500"
30-09-2017,14.73,15.57,14.54,14.56,"69,376","1,84,09,000"
01-10-2017,14.72,17.08,13.45,16.36,"2,98,959","1,83,94,200"
