Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",17.72,20.2,17.71,18.4,"10,92,02,000","1,80,80,00,000"
"Feb 19, 2018",16.49,18.37,16.32,17.69,"5,48,14,700","1,68,28,70,000"
"Feb 18, 2018",18.32,18.41,16.35,16.66,"4,22,87,800","1,86,97,70,000"
"Feb 17, 2018",18.17,18.64,17.69,18.29,"5,92,95,600","1,85,37,70,000"
"Feb 16, 2018",16.67,18.23,16.03,18.17,"8,13,37,500","1,70,13,70,000"
"Feb 15, 2018",15.63,16.71,14.99,16.67,"5,41,42,700","1,59,47,90,000"
"Feb 14, 2018",12.97,15.72,12.97,15.66,"9,16,50,800","1,32,35,70,000"
"Feb 13, 2018",12.88,13.06,12.31,12.99,"2,33,26,000","1,31,43,60,000"
"Feb 12, 2018",11.95,13,11.93,12.84,"2,45,88,600","1,21,92,40,000"
"Feb 11, 2018",12.54,12.67,11.06,11.86,"2,99,81,600","1,27,97,50,000"
"Feb 10, 2018",13.2,13.88,11.93,12.51,"4,33,85,500","1,34,68,30,000"
"Feb 09, 2018",12.21,13.21,11.56,13.2,"4,19,73,800","1,24,60,80,000"
"Feb 08, 2018",10.88,12.26,10.88,11.89,"3,15,63,700","1,11,04,80,000"
"Feb 07, 2018",11.32,12.55,10.17,10.9,"3,66,39,600","1,15,51,50,000"
"Feb 06, 2018",9.31,11.39,7.39,11.37,"5,69,68,000","94,97,42,000"
"Feb 05, 2018",11.92,12.68,8.75,9.27,"4,52,36,500","1,21,66,30,000"
"Feb 04, 2018",14.09,14.16,11.72,12.06,"3,62,25,800","1,43,75,90,000"
"Feb 03, 2018",13.35,14.3,12.2,14.05,"3,15,93,400","1,36,24,80,000"
"Feb 02, 2018",13.97,13.97,10.54,13.25,"6,24,54,300","1,42,54,60,000"
"Feb 01, 2018",15.85,15.95,13.25,13.99,"6,01,57,800","1,61,73,80,000"
"Jan 31, 2018",14.9,15.85,14.16,15.74,"7,15,04,300","1,52,04,80,000"
"Jan 30, 2018",16.89,17.86,14.67,14.92,"9,68,93,300","1,72,35,30,000"
"Jan 29, 2018",17.15,17.35,16.04,16.91,"4,66,35,600","1,75,00,90,000"
"Jan 28, 2018",16.06,17.29,15.77,17.09,"8,37,98,900","1,63,85,30,000"
"Jan 27, 2018",16.6,16.77,15.79,15.98,"9,91,30,000","1,69,39,10,000"
"Jan 26, 2018",17.93,18.58,14.93,16.58,"14,57,09,000","1,82,91,40,000"
"Jan 25, 2018",18.05,19.12,16.67,17.96,"7,93,37,500","1,84,17,60,000"
"Jan 24, 2018",16.05,18.5,15.48,17.85,"7,22,41,700","1,63,75,70,000"
"Jan 23, 2018",15.66,16.62,14.3,16.05,"5,89,31,400","1,59,77,00,000"
"Jan 22, 2018",17.14,17.96,14.22,15.66,"7,01,01,200","1,74,86,70,000"
"Jan 21, 2018",19.74,19.74,16.41,16.97,"5,58,61,100","2,01,38,40,000"
"Jan 20, 2018",18.63,19.95,18.63,19.71,"8,91,03,800","1,90,11,00,000"
"Jan 19, 2018",17.62,18.94,17.08,18.43,"7,24,77,800","1,79,83,60,000"
"Jan 18, 2018",18.23,19.45,17.16,17.73,"8,79,71,600","1,86,02,80,000"
"Jan 17, 2018",17.3,18.91,12.41,18.06,"11,49,04,000","1,76,54,70,000"
"Jan 16, 2018",22.5,22.5,13.91,17.38,"13,22,24,000","2,29,64,40,000"
"Jan 15, 2018",23.7,24.62,22.46,22.46,"9,18,02,400","2,41,81,90,000"
"Jan 14, 2018",25.72,25.81,22.24,23.83,"7,40,17,300","2,62,46,20,000"
"Jan 13, 2018",22.83,26.07,22.66,25.72,"12,09,21,000","2,32,95,70,000"
"Jan 12, 2018",21.7,23.18,20.85,22.84,"8,38,35,500","2,21,40,90,000"
"Jan 11, 2018",23.46,23.82,19.34,21.66,"12,26,02,000","2,39,34,80,000"
"Jan 10, 2018",25.4,25.4,21.9,23.35,"13,79,34,000","2,59,17,50,000"
"Jan 09, 2018",23.84,26.11,22.92,25.29,"19,15,09,000","2,43,28,50,000"
"Jan 08, 2018",24.39,28.35,20.69,23.89,"38,28,95,000","2,48,92,90,000"
"Jan 07, 2018",19.31,24.41,19.28,24.41,"25,06,09,000","1,97,01,70,000"
"Jan 06, 2018",18.7,19.76,18.12,19.31,"9,94,21,600","1,90,85,10,000"
"Jan 05, 2018",19.81,20.4,18.12,18.69,"13,83,93,000","2,02,10,50,000"
"Jan 04, 2018",20.6,21.94,19.63,19.93,"15,02,60,000","2,10,18,60,000"
"Jan 03, 2018",20.15,20.98,19.07,20.54,"13,90,39,000","2,05,59,70,000"
"Jan 02, 2018",19.34,22.24,18.73,20.3,"22,95,53,000","1,97,39,80,000"
"Jan 01, 2018",19.6,20.99,18.25,19.33,"16,68,60,000","1,99,95,50,000"
"Dec 31, 2017",16.01,21.61,15.46,19.89,"34,95,31,000","1,63,41,70,000"
"Dec 30, 2017",15.95,16.57,13.02,16.57,"12,49,15,000","1,62,73,10,000"
"Dec 29, 2017",15.16,16.71,14.54,16.02,"12,12,58,000","1,54,71,50,000"
"Dec 28, 2017",15,15.17,13.03,15.09,"6,94,10,700","1,53,03,70,000"
"Dec 27, 2017",15.25,15.78,14.22,15.04,"6,53,50,300","1,55,59,20,000"
"Dec 26, 2017",15.6,16.2,14.57,15.24,"8,90,81,800","1,59,16,10,000"
"Dec 25, 2017",14.54,15.69,14.12,15.64,"9,14,85,300","1,48,36,20,000"
"Dec 24, 2017",14.53,14.53,11.84,14.35,"8,74,59,300","1,48,25,50,000"
"Dec 23, 2017",13.16,15.75,12.84,14.41,"10,62,32,000","1,34,24,80,000"
"Dec 22, 2017",17.53,17.53,9.67,12.88,"21,02,69,000","1,78,91,50,000"
"Dec 21, 2017",17.87,18.84,16.12,17.12,"12,75,90,000","1,82,38,20,000"
"Dec 20, 2017",18.19,19.18,15.88,17.79,"17,80,69,000","1,85,60,30,000"
"Dec 19, 2017",18.5,21.51,17.12,18.14,"24,79,96,000","1,88,78,80,000"
"Dec 18, 2017",16.2,18.58,14.81,18.5,"21,60,24,000","1,65,35,90,000"
"Dec 17, 2017",14.19,17.44,13.97,15.62,"19,72,59,000","1,44,76,90,000"
"Dec 16, 2017",11.84,14.97,11.84,14.27,"31,69,99,000","1,20,78,40,000"
"Dec 15, 2017",11.45,11.72,10.03,11.72,"7,79,23,700","1,16,82,60,000"
"Dec 14, 2017",10.7,11.74,10.32,11.44,"9,55,47,300","1,09,16,00,000"
"Dec 13, 2017",10.36,11.55,9.66,10.71,"11,04,63,000","1,05,67,70,000"
"Dec 12, 2017",9.07,10.5,8.83,10.38,"11,64,42,000","92,60,09,000"
"Dec 11, 2017",7.95,9.36,7.95,9.01,"4,75,54,300","81,16,23,000"
"Dec 10, 2017",8.59,8.59,7.76,7.95,"3,46,60,500","87,70,14,000"
"Dec 09, 2017",8.43,9.22,8.31,8.58,"4,17,98,400","86,02,61,000"
"Dec 08, 2017",7.88,8.73,7.58,8.45,"5,44,57,900","80,41,82,000"
"Dec 07, 2017",8.62,9.01,7.84,7.85,"5,44,13,600","87,98,42,000"
"Dec 06, 2017",10.11,10.11,8.52,8.64,"6,45,31,900","1,03,14,40,000"
"Dec 05, 2017",10.41,10.47,9.85,10.08,"6,37,11,700","1,06,21,70,000"
"Dec 04, 2017",9.42,10.51,9.14,10.51,"5,12,29,800","96,12,22,000"
"Dec 03, 2017",9.3,10.07,8.93,9.43,"5,36,17,600","94,92,55,000"
"Dec 02, 2017",8.88,9.71,8.66,9.31,"4,93,52,400","90,58,96,000"
"Dec 01, 2017",8.12,8.98,7.83,8.9,"4,57,78,600","82,82,72,000"
"Nov 30, 2017",7.95,8.6,7.29,8.13,"4,66,61,000","81,13,84,000"
"Nov 29, 2017",9.42,9.42,7.29,7.95,"6,82,67,600","96,11,28,000"
"Nov 28, 2017",9.48,9.94,9.05,9.39,"6,04,71,100","96,78,55,000"
"Nov 27, 2017",8.52,9.49,8.52,9.49,"5,47,01,200","86,97,21,000"
"Nov 26, 2017",8.74,8.74,8.25,8.49,"3,59,70,800","89,18,35,000"
"Nov 25, 2017",7.6,8.95,7.6,8.72,"6,81,54,900","77,59,40,000"
"Nov 24, 2017",7.7,7.74,7.44,7.61,"2,55,35,100","78,55,44,000"
"Nov 23, 2017",7.98,8.17,7.72,7.72,"2,92,20,900","81,42,75,000"
"Nov 22, 2017",7.68,7.94,7.62,7.94,"2,35,40,600","78,32,36,000"
"Nov 21, 2017",8.08,8.08,7.55,7.65,"2,83,77,000","82,42,62,000"
"Nov 20, 2017",7.8,8.18,7.8,8.03,"2,58,38,900","79,59,24,000"
"Nov 19, 2017",7.93,8.23,7.64,7.82,"2,74,24,000","80,92,83,000"
"Nov 18, 2017",7.69,8.62,7.42,7.95,"6,18,39,300","78,49,18,000"
"Nov 17, 2017",7.13,7.74,7.08,7.58,"2,87,40,500","72,71,92,000"
"Nov 16, 2017",7.72,7.72,7.1,7.16,"2,57,23,800","78,79,88,000"
"Nov 15, 2017",7.87,8.04,7.31,7.72,"2,94,03,800","80,30,44,000"
"Nov 14, 2017",7.55,7.89,7.27,7.84,"2,50,75,600","77,03,72,000"
"Nov 13, 2017",6.6,7.7,6.6,7.57,"4,56,28,000","67,38,86,000"
"Nov 12, 2017",7.29,7.32,6.14,6.59,"4,09,13,300","74,39,45,000"
"Nov 11, 2017",6.99,7.54,6.88,7.3,"2,68,45,400","71,33,86,000"
"Nov 10, 2017",8.04,8.09,6.78,7.01,"4,38,85,700","82,07,86,000"
"Nov 09, 2017",7.67,8.44,7.57,8.03,"5,31,12,900","78,25,37,000"
"Nov 08, 2017",6.34,8.36,6.33,7.7,"8,36,58,200","64,64,93,000"
"Nov 07, 2017",6.52,6.67,6.16,6.33,"1,74,28,900","66,53,98,000"
"Nov 06, 2017",6.28,6.68,6.22,6.48,"2,12,23,900","61,74,14,000"
"Nov 05, 2017",6.44,6.49,6.17,6.29,"1,28,19,400","63,32,14,000"
"Nov 04, 2017",6.72,6.77,6.38,6.45,"1,69,63,100","66,08,38,000"
"Nov 03, 2017",6.23,6.78,6.15,6.73,"2,75,48,300","61,23,83,000"
"Nov 02, 2017",6.05,6.67,5.55,6.23,"5,52,64,500","59,48,39,000"
"Nov 01, 2017",6.83,6.96,6.05,6.05,"3,79,53,700","67,10,68,000"
"Oct 31, 2017",7.23,7.29,6.84,6.84,"2,17,97,300","71,04,88,000"
"Oct 30, 2017",7.28,7.4,7.13,7.25,"1,42,24,900","71,59,73,000"
"Oct 29, 2017",7.16,7.44,7.15,7.3,"1,80,76,000","70,34,86,000"
"Oct 28, 2017",7.49,7.54,7.17,7.18,"1,72,42,600","73,63,31,000"
"Oct 27, 2017",7.65,8.12,7.42,7.46,"2,87,04,900","75,17,45,000"
"Oct 26, 2017",7.66,7.8,7.48,7.65,"1,91,34,300","75,26,36,000"
"Oct 25, 2017",8.12,8.14,7.56,7.62,"2,03,63,000","79,81,30,000"
"Oct 24, 2017",7.59,8.7,7.38,8.13,"5,41,51,300","74,61,81,000"
"Oct 23, 2017",7.65,7.66,7.12,7.61,"1,76,84,200","75,21,39,000"
"Oct 22, 2017",7.37,7.78,7.36,7.67,"1,95,88,000","72,41,77,000"
"Oct 21, 2017",7.31,7.46,6.99,7.37,"1,94,48,800","71,84,01,000"
"Oct 20, 2017",7.9,7.91,7.29,7.31,"2,05,54,400","77,68,25,000"
"Oct 19, 2017",7.82,8.08,7.68,7.92,"1,40,64,200","76,90,45,000"
"Oct 18, 2017",7.97,8.08,7.66,7.84,"2,09,15,200","78,35,02,000"
"Oct 17, 2017",7.86,8.24,7.69,7.99,"2,31,77,500","77,24,86,000"
"Oct 16, 2017",8,8.1,7.6,7.85,"1,99,51,300","78,66,81,000"
"Oct 15, 2017",8.03,8.24,7.67,7.97,"2,35,08,300","78,93,79,000"
"Oct 14, 2017",8.31,8.38,7.99,8.03,"2,02,84,600","81,68,02,000"
"Oct 13, 2017",8.19,8.68,7.98,8.3,"3,39,08,900","80,55,49,000"
"Oct 12, 2017",9.26,9.53,8.18,8.2,"4,99,96,900","91,05,44,000"
"Oct 11, 2017",8.12,9.42,8.12,9.26,"5,77,41,200","79,87,13,000"
"Oct 10, 2017",7.49,8.39,7.28,8.09,"2,75,42,200","73,62,31,000"
"Oct 09, 2017",7.78,8.1,7.03,7.5,"3,48,23,600","76,50,67,000"
"Oct 08, 2017",8.54,8.61,7.62,7.7,"2,71,20,900","83,95,43,000"
"Oct 07, 2017",8.66,8.69,8.14,8.54,"1,82,07,700","85,18,03,000"
"Oct 06, 2017",8.82,8.89,8.49,8.66,"1,39,57,500","86,69,72,000"
"Oct 05, 2017",8.67,8.97,8.23,8.8,"1,97,15,100","85,22,39,000"
"Oct 04, 2017",9.26,9.27,8.6,8.66,"1,99,33,100","90,99,63,000"
"Oct 03, 2017",9.19,9.27,8.53,9.24,"3,55,95,500","90,39,03,000"
"Oct 02, 2017",9.82,9.99,9.07,9.2,"3,66,73,900","96,52,25,000"
"Oct 01, 2017",10.11,10.15,9.57,9.82,"2,14,94,500","99,42,33,000"
"Sep 30, 2017",9.74,10.27,9.68,10.12,"2,68,71,400","95,78,99,000"
"Sep 29, 2017",10.47,10.58,9.19,9.75,"5,13,06,900","1,02,90,50,000"
"Sep 28, 2017",10.35,11.48,10.07,10.49,"6,66,93,200","1,01,70,90,000"
"Sep 27, 2017",9.78,10.52,9.77,10.34,"3,89,15,800","96,18,63,000"
"Sep 26, 2017",10.01,10.27,9.69,9.76,"2,69,20,700","98,43,56,000"
"Sep 25, 2017",8.66,10.38,8.63,10,"5,98,57,600","85,18,63,000"
"Sep 24, 2017",9.01,9.12,8.53,8.66,"1,97,30,500","88,53,88,000"
"Sep 23, 2017",8.66,9.36,8.43,9.03,"2,84,36,100","85,15,87,000"
"Sep 22, 2017",8.13,8.96,7.93,8.65,"4,22,77,500","79,92,39,000"
"Sep 21, 2017",9.12,9.39,7.75,8.12,"5,19,11,500","89,70,56,000"
"Sep 20, 2017",9.92,9.95,9.11,9.11,"3,60,72,700","97,56,91,000"
"Sep 19, 2017",11,11.03,9.68,9.92,"3,83,92,200","1,08,14,20,000"
"Sep 18, 2017",9.88,11.34,9.88,10.98,"5,40,86,300","97,14,99,000"
"Sep 17, 2017",9.9,10.31,8.98,9.87,"4,01,54,600","97,36,96,000"
"Sep 16, 2017",9.96,10.65,9.34,9.93,"6,61,55,100","97,92,04,000"
"Sep 15, 2017",8.13,10.39,6.57,9.95,"15,65,28,000","79,88,13,000"
"Sep 14, 2017",10.58,11.06,7.67,8.08,"9,55,58,500","1,04,02,20,000"
"Sep 13, 2017",11.68,11.7,9.55,10.61,"8,58,96,500","1,14,84,50,000"
"Sep 12, 2017",11.37,13.45,11.21,11.59,"13,05,91,000","1,11,73,70,000"
"Sep 11, 2017",11.42,11.98,11.09,11.33,"3,77,33,800","1,12,29,60,000"
"Sep 10, 2017",12.29,12.29,10.76,11.4,"5,32,65,800","1,20,78,60,000"
"Sep 09, 2017",11.38,12.22,10.88,12.22,"6,32,45,300","1,11,89,90,000"
"Sep 08, 2017",12.91,13.39,10.66,11.45,"9,90,91,800","1,26,87,90,000"
"Sep 07, 2017",11.65,13.53,10.77,12.87,"15,31,92,000","1,14,54,40,000"
"Sep 06, 2017",10.96,11.79,10.49,11.64,"9,50,01,000","1,07,73,00,000"
"Sep 05, 2017",8.68,11.28,7.6,10.98,"11,14,30,000","85,28,70,000"
"Sep 04, 2017",10.55,10.55,7.31,8.78,"15,99,79,000","1,03,74,40,000"
"Sep 03, 2017",10.79,11.37,9.64,10.57,"6,86,16,800","1,06,07,60,000"
"Sep 02, 2017",11.99,11.99,9.96,10.8,"9,35,61,000","1,17,86,10,000"
"Sep 01, 2017",11.73,12.52,11.63,11.97,"9,19,62,400","1,15,33,90,000"
"Aug 31, 2017",11.17,12.08,10.78,11.74,"8,97,10,200","1,09,84,70,000"
"Aug 30, 2017",9.49,11.67,9.3,11.07,"19,46,13,000","93,29,58,000"
"Aug 29, 2017",8.58,9.62,8.45,9.46,"8,61,55,000","84,32,49,000"
"Aug 28, 2017",8.33,8.93,8.15,8.59,"5,23,90,300","81,90,05,000"
"Aug 27, 2017",8.29,8.37,8.03,8.33,"2,29,15,000","81,54,12,000"
"Aug 26, 2017",8.26,8.33,7.85,8.28,"2,56,61,900","81,22,89,000"
"Aug 25, 2017",8.38,8.46,8.04,8.27,"2,42,05,300","82,36,20,000"
"Aug 24, 2017",8.2,8.39,7.97,8.37,"3,12,84,200","80,62,67,000"
"Aug 23, 2017",7.61,8.66,7.58,8.24,"6,44,55,600","74,85,15,000"
"Aug 22, 2017",7.67,7.76,6.96,7.62,"4,14,23,400","75,38,80,000"
"Aug 21, 2017",8.45,8.6,7.34,7.67,"7,15,69,400","83,05,36,000"
"Aug 20, 2017",7.76,8.84,7.17,8.44,"7,46,87,700","76,25,42,000"
"Aug 19, 2017",7.31,7.93,6.42,7.8,"7,09,97,400","71,85,10,000"
"Aug 18, 2017",8.4,8.45,6.32,7.34,"10,42,24,000","82,55,91,000"
"Aug 17, 2017",8.89,9.47,8.29,8.4,"13,14,88,000","87,35,48,000"
"Aug 16, 2017",6.67,9.02,6.67,8.87,"20,45,80,000","65,55,37,000"
"Aug 15, 2017",6.94,7.05,6.16,6.69,"6,70,45,700","68,25,06,000"
"Aug 14, 2017",6.88,7.38,6.25,7.02,"8,51,91,300","67,68,04,000"
"Aug 13, 2017",6.18,7.53,5.36,6.94,"12,89,09,000","60,77,72,000"
"Aug 12, 2017",7.2,7.4,5.83,6.19,"8,75,90,300","70,77,79,000"
"Aug 11, 2017",5.96,7.81,5.41,7.23,"20,02,87,000","58,60,21,000"
"Aug 10, 2017",3.41,6.36,3.38,5.93,"23,46,93,000","33,51,83,000"
"Aug 09, 2017",3.62,3.68,3.26,3.45,"2,47,83,900","35,54,40,000"
"Aug 08, 2017",3.15,3.76,3.07,3.61,"4,97,78,700","30,97,66,000"
"Aug 07, 2017",2.7,3.25,2.63,3.15,"3,44,17,900","26,51,38,000"
"Aug 06, 2017",3.62,3.62,2.59,2.75,"3,96,69,900","35,61,83,000"
"Aug 05, 2017",2.79,3.73,2.74,3.61,"9,55,93,700","27,41,09,000"
"Aug 04, 2017",1.95,2.79,1.94,2.76,"4,40,51,500","19,20,03,000"
"Aug 03, 2017",1.38,2.03,1.37,1.96,"1,83,48,800","13,55,28,000"
"Aug 02, 2017",1.34,1.39,1.29,1.38,"37,08,080","13,17,07,000"
"Aug 01, 2017",1.22,1.37,1.18,1.33,"43,60,060","12,04,15,000"
"Jul 31, 2017",1.2,1.26,1.17,1.23,"21,53,100","11,83,09,000"
"Jul 30, 2017",1.27,1.31,1.19,1.21,"17,49,290","12,46,45,000"
"Jul 29, 2017",1.19,1.29,1.11,1.28,"26,51,230","11,69,68,000"
