Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",32.72,33.41,31.02,31.11,"20,33,59,000","2,41,76,80,000"
"Feb 19, 2018",31.41,32.93,31.19,32.66,"19,72,24,000","2,32,10,60,000"
"Feb 18, 2018",33.47,33.68,29.97,31.24,"18,10,70,000","2,47,30,10,000"
"Feb 17, 2018",33.17,33.69,32.67,33.56,"17,85,25,000","2,45,09,40,000"
"Feb 16, 2018",33.03,33.95,31.99,33.02,"16,65,22,000","2,44,03,80,000"
"Feb 15, 2018",32.42,33.53,31.91,33.06,"22,29,10,000","2,39,49,40,000"
"Feb 14, 2018",30.04,32.62,29.99,32.55,"33,43,00,000","2,21,92,40,000"
"Feb 13, 2018",30.21,30.46,28.55,30.11,"24,27,14,000","2,23,15,70,000"
"Feb 12, 2018",27.58,30.81,27.58,30.13,"21,29,54,000","2,03,72,50,000"
"Feb 11, 2018",30.21,30.21,26.26,27.48,"25,82,12,000","2,23,19,10,000"
"Feb 10, 2018",30.83,34.59,29.09,30.27,"42,12,75,000","2,27,74,60,000"
"Feb 09, 2018",27.79,31.59,25.98,31.16,"61,81,54,000","2,05,27,90,000"
"Feb 08, 2018",21.95,27.38,21.95,26.48,"27,67,59,000","1,62,16,40,000"
"Feb 07, 2018",24.09,24.53,20.99,21.78,"23,88,50,000","1,77,90,20,000"
"Feb 06, 2018",20.93,24.32,16.67,24.05,"38,66,34,000","1,54,56,00,000"
"Feb 05, 2018",26.24,26.76,19.64,20.54,"20,07,30,000","1,93,78,50,000"
"Feb 04, 2018",29.72,30.68,25.38,26.19,"21,93,27,000","2,19,50,80,000"
"Feb 03, 2018",30.39,31.62,25.77,29.93,"30,50,47,000","2,24,44,70,000"
"Feb 02, 2018",35.56,35.56,22.31,30.26,"56,65,08,000","2,62,60,60,000"
"Feb 01, 2018",42.1,42.1,34.71,35.68,"37,14,98,000","3,10,88,00,000"
"Jan 31, 2018",37.3,42.38,34.62,42.12,"43,74,72,000","2,75,42,50,000"
"Jan 30, 2018",43.6,43.64,36.71,37.33,"27,58,40,000","3,21,93,50,000"
"Jan 29, 2018",43.84,45.51,42.33,43.41,"41,29,98,000","3,23,69,40,000"
"Jan 28, 2018",39.74,44.08,39.74,43.76,"34,69,52,000","2,93,44,40,000"
"Jan 27, 2018",39.77,40.48,38.15,39.58,"22,80,16,000","2,93,66,40,000"
"Jan 26, 2018",40.41,41.73,35.83,39.7,"37,85,12,000","2,98,34,80,000"
"Jan 25, 2018",40.93,41.98,39.68,40.72,"33,04,19,000","3,02,18,30,000"
"Jan 24, 2018",39.05,42.4,38.25,40.51,"41,26,05,000","2,88,31,10,000"
