Date,Open,High,Low,Close,Volume,Market Cap
12-08-2016,0.013826,0.013897,0.009226,0.011175,"48,504",0
13-08-2016,0.011171,0.016318,0.008483,0.014405,"1,56,217","10,95,050"
14-08-2016,0.014405,0.033588,0.013431,0.02396,"6,03,562","14,12,140"
15-08-2016,0.024023,0.027224,0.019404,0.024511,"2,21,564","23,55,090"
16-08-2016,0.023893,0.031045,0.022763,0.028699,"2,18,752","23,42,370"
17-08-2016,0.02831,0.030283,0.024678,0.027411,"1,53,193","27,75,420"
18-08-2016,0.02736,0.027938,0.02085,0.02399,"1,21,468","26,82,320"
19-08-2016,0.02468,0.024977,0.019231,0.020717,"68,362","24,19,540"
20-08-2016,0.020733,0.022651,0.019495,0.020357,"36,074","20,32,670"
21-08-2016,0.02054,0.021267,0.019723,0.020555,"17,146","20,13,740"
22-08-2016,0.020654,0.023463,0.020379,0.021984,"40,105","20,24,960"
23-08-2016,0.021985,0.023075,0.019797,0.022228,"1,17,115","21,55,460"
24-08-2016,0.022228,0.022234,0.020301,0.02095,"26,100","21,79,290"
25-08-2016,0.02095,0.021053,0.016875,0.018488,"35,593","20,54,090"
26-08-2016,0.018488,0.02432,0.018065,0.021864,"50,463","18,12,710"
27-08-2016,0.022749,0.027015,0.021072,0.023835,"78,507","22,30,530"
28-08-2016,0.02338,0.025276,0.020146,0.021103,"52,311","22,92,440"
29-08-2016,0.021109,0.023414,0.020138,0.021121,"37,867","20,69,720"
30-08-2016,0.021179,0.021537,0.020227,0.020241,"13,575","20,76,630"
31-08-2016,0.020245,0.022638,0.020113,0.021287,"24,222","19,85,060"
01-09-2016,0.021289,0.022687,0.020624,0.02209,"16,398","20,87,530"
02-09-2016,0.022095,0.0248,0.021984,0.023228,"21,842","21,66,520"
03-09-2016,0.023228,0.023769,0.021618,0.023516,"32,279","22,77,710"
04-09-2016,0.023531,0.024157,0.021402,0.022118,"26,275","23,07,380"
05-09-2016,0.022131,0.023627,0.021879,0.022383,"11,453","21,70,140"
06-09-2016,0.02238,0.025614,0.021904,0.024576,"33,508","21,94,620"
07-09-2016,0.024582,0.028025,0.024499,0.027648,"45,575","24,10,550"
08-09-2016,0.027652,0.028287,0.025115,0.026794,"24,368","27,11,680"
09-09-2016,0.026056,0.031067,0.025896,0.030533,"41,130","25,55,210"
10-09-2016,0.030536,0.047915,0.029899,0.047915,"2,10,228","29,94,550"
11-09-2016,0.049149,0.049802,0.036248,0.037784,"2,78,851","48,19,890"
12-09-2016,0.037712,0.038903,0.032017,0.034792,"1,38,431","36,98,340"
13-09-2016,0.034792,0.038141,0.03237,0.036959,"78,787","34,12,010"
14-09-2016,0.036929,0.038508,0.034827,0.037704,"73,879","36,21,680"
